Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
23885;4,865064;15,0800;1,2150;0,0372;355,6178;272,9830;3,9487;True;True;0,3016;0,7808;0,0028;23,0860;70,8263;353,8243;-0,0557;-0,0305;-0,0026;175,9628;True;True;-0,0882;0,7620;0,1742;312,8110;3,8796;328,0721;-0,0598;-0,0201;0,0482;144,7338;
23890;4,890064;15,0791;1,2143;0,0384;356,0266;273,6814;3,8996;True;True;0,3036;0,7830;0,0012;22,8256;71,6958;354,1217;-0,1335;0,2094;0,0969;175,4833;True;True;-0,0870;0,7596;0,1737;315,2827;1,4721;330,0841;0,1662;-0,0706;-0,1328;144,3237;
23895;4,915065;15,0775;1,2140;0,0393;356,2573;273,8119;3,5932;True;True;0,2994;0,7868;0,0007;22,9831;72,6793;355,5918;-0,0498;0,0874;0,0018;174,4011;True;True;-0,0867;0,7592;0,1739;306,7713;6,0700;325,9664;0,0076;-0,0071;0,0034;146,3038;
23900;4,940065;15,0756;1,2131;0,0393;356,7036;273,3341;3,4723;True;True;0,2978;0,7856;0,0021;23,2621;72,0008;352,6734;0,0061;0,0118;0,0122;174,2455;True;True;-0,0863;0,7588;0,1743;308,7271;7,1996;327,6055;0,0133;-0,0195;0,0191;146,0577;
23905;4,965066;15,0740;1,2123;0,0387;357,0864;272,4530;3,3237;True;True;0,2977;0,7837;0,0020;22,1648;71,0045;351,2336;-0,0109;-0,1046;0,0756;175,2597;True;True;-0,0871;0,7562;0,1750;309,9225;4,4465;330,3485;-0,0341;-0,1795;0,0859;145,8283;
23910;4,990067;15,0729;1,2122;0,0387;357,2514;271,1125;2,8190;True;True;0,2983;0,7861;0,0021;21,4226;70,4653;351,6264;0,0728;-0,1166;0,1295;175,8336;True;True;-0,0872;0,7553;0,1763;312,1458;3,8871;330,0157;0,0030;-0,0076;-0,0141;145,5262;
23915;5,015067;15,0719;1,2114;0,0429;357,5171;269,8879;1,5912;True;True;0,3086;0,7772;0,0008;23,8712;67,9913;348,7793;1,2796;-0,4776;-0,3370;176,2302;True;True;-0,0881;0,7574;0,1764;310,2243;358,6515;332,7716;-0,0271;0,2054;-0,0890;146,1148;
23920;5,040068;15,0691;1,2090;0,0481;358,8413;269,8945;0,7026;True;True;0,3125;0,7768;-0,0009;32,4957;67,7500;347,1450;-0,0421;0,0250;0,0124;177,7857;True;True;-0,0922;0,7563;0,1759;307,7337;350,0479;335,6599;-0,2526;-0,3326;-0,1220;149,6672;
23925;5,065068;15,0655;1,2074;0,0516;359,7460;271,2169;1,3882;True;True;0,3100;0,7715;-0,0119;46,0383;57,1606;339,4119;1,3814;-0,7193;-2,1791;-174,4398;True;True;-0,0940;0,7539;0,1734;306,2790;354,7732;331,4210;0,1386;-0,0589;0,0303;151,5454;
23930;5,090069;15,0621;1,2050;0,0542;0,5983;272,4239;1,8438;True;True;0,3176;0,7818;-0,0102;44,4552;60,7063;345,2201;-0,0563;0,3268;0,2633;174,0203;True;True;-0,0879;0,7543;0,1738;310,5161;359,1985;330,3625;0,2239;-0,0626;0,0140;149,3156;
