Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
148795;358,9946;15,1195;1,1828;0,0035;357,3913;263,3229;351,0062;True;True;0,1642;0,6042;0,0543;23,2244;64,5215;351,9034;-0,1590;-0,1560;0,0495;-164,9398;True;True;-0,2118;1,0808;0,1010;355,2765;107,2128;74,1709;-3,5431;8,6447;-2,7467;-140,4936;
148800;359,0197;15,1192;1,1914;-0,0018;355,0223;265,1869;351,8613;True;True;0,1585;0,5996;0,0571;16,5940;59,5278;355,1924;-0,1072;0,2606;-0,1964;-168,8114;True;True;-0,1489;0,9387;0,2103;20,2348;97,9254;90,6246;2,8503;-10,9449;10,0531;-134,8214;
154105;359,0497;15,1217;1,1596;0,0095;3,6805;268,7588;358,9158;True;True;0,1103;0,6407;0,1705;15,2971;98,0793;20,7791;-0,0006;-0,0033;0,0227;150,2568;True;True;-0,1167;0,6342;0,1626;333,8548;78,7710;202,8853;-0,0363;0,0358;0,0038;154,0174;
154110;359,0747;15,1225;1,1598;0,0095;3,5316;268,8173;358,9631;True;True;0,1107;0,6410;0,1708;16,3454;98,1130;20,5023;0,0143;-0,0217;0,1629;149,8455;True;True;-0,1168;0,6344;0,1615;334,8283;79,4044;202,3795;0,0177;0,0380;0,0361;154,5920;
154115;359,0997;15,1228;1,1600;0,0090;3,3404;268,5119;359,0993;True;True;0,1111;0,6382;0,1714;16,7457;98,3299;20,1794;-0,1535;0,1394;0,1357;149,8455;True;True;-0,1162;0,6351;0,1623;334,1594;78,1952;203,1759;0,0407;0,0334;0,0204;154,5920;
154120;359,1248;15,1231;1,1598;0,0081;3,6750;268,1881;359,1518;True;True;0,1111;0,6366;0,1711;15,6288;97,6683;19,4260;0,0151;0,0143;-0,0110;150,5216;True;True;-0,1176;0,6338;0,1626;334,0428;78,8456;202,8554;0,0023;0,0020;-0,0027;154,4054;
154125;359,1498;15,1233;1,1594;0,0079;3,8359;268,5048;359,1469;True;True;0,1115;0,6381;0,1710;16,6778;97,9073;20,4938;0,0490;0,0568;-0,1152;150,9402;True;True;-0,1187;0,6314;0,1631;334,3586;79,6942;202,6450;-0,0421;-0,1891;-0,0875;154,9185;
154130;359,1748;15,1239;1,1595;0,0078;3,8016;268,9263;359,2137;True;True;0,1116;0,6387;0,1710;15,8649;97,7854;20,4742;-0,0072;0,0231;-0,0135;150,6965;True;True;-0,1184;0,6320;0,1633;334,7031;79,5090;202,6231;0,0400;0,0657;0,0570;155,1662;
154135;359,1998;15,1246;1,1597;0,0077;3,9336;268,9377;359,2335;True;True;0,1123;0,6361;0,1694;15,6044;97,4890;19,5090;0,0048;-0,4821;-0,1998;151,3121;True;True;-0,1201;0,6336;0,1632;334,2824;79,4186;202,8663;-0,2878;0,2102;-0,1711;154,7466;
154140;359,2249;15,1242;1,1596;0,0069;4,4350;268,8252;359,3828;True;True;0,1202;0,6440;0,1698;22,9631;98,8640;14,1718;0,1004;0,5841;-0,2032;151,8466;True;True;-0,1469;0,6553;0,1640;324,9309;77,7784;194,8925;-1,4389;1,4180;-0,0345;155,6968;
154145;359,2499;15,1238;1,1595;0,0056;4,0311;268,4215;359,4438;True;True;0,1296;0,6899;0,1603;36,3799;86,9188;337,2927;1,0853;2,4738;1,0713;-148,8385;True;True;-0,1840;0,7057;0,1728;316,6078;83,7418;171,8368;-1,5635;5,9209;-1,2340;-151,0719;
154150;359,2749;15,1257;1,1587;0,0032;4,8876;268,4622;359,0809;True;True;0,0977;0,8066;0,1446;26,7257;63,6174;295,4105;-3,2334;5,3042;-2,4285;-137,7010;True;True;-0,1951;0,8139;0,1483;316,5662;93,0667;149,9515;-1,1305;1,2926;-0,0598;-142,5447;
154155;359,2999;15,1246;1,1587;-0,0022;4,6027;267,7579;359,1003;True;True;0,0644;0,8659;0,1435;351,3720;43,7780;278,1582;-2,6138;2,5477;-0,0809;-134,0230;True;True;-0,2153;0,8285;0,1373;315,1865;108,2991;121,5565;-0,9945;-0,4819;-0,3716;-140,0280;
154160;359,325;15,1168;1,1616;-0,0092;4,0751;267,0579;358,7549;True;True;0,0402;0,8802;0,1510;322,6928;27,0034;280,1076;-0,5152;0,1707;0,0442;-127,0816;True;True;-0,2328;0,8117;0,1166;321,9320;111,5225;111,1468;-0,0202;-0,0232;0,2426;-136,0145;
154165;359,35;15,1063;1,1649;-0,0159;3,5439;267,0307;358,2548;True;True;0,0265;0,9021;0,1806;304,5407;12,6186;296,9245;0,5455;1,4658;0,9214;-127,2839;True;True;-0,2442;0,7993;0,0949;320,4081;105,1316;110,0665;-0,5500;-0,1217;-1,0076;-129,6560;
154170;359,375;15,0938;1,1683;-0,0230;3,1595;267,0720;357,6503;True;True;0,0271;0,9351;0,2163;302,7709;11,9384;301,5206;-0,3723;1,1889;2,3925;-129,3047;True;True;-0,2646;0,7949;0,0933;317,1882;102,0646;111,5322;-1,4523;0,2400;-0,0550;-129,4991;
154175;359,4;15,0871;1,1698;-0,0263;2,2482;266,6721;357,6175;True;True;-0,0234;0,9531;0,3421;299,6601;31,1485;283,0518;1,0843;1,0396;0,3727;-125,9531;True;True;-0,2819;0,8022;0,0967;324,4027;96,9935;107,7600;-0,0545;-0,0475;0,1055;-131,2299;
154180;359,425;15,0891;1,1688;-0,0243;3,9104;266,1159;359,0902;True;True;-0,0161;0,9836;0,5808;308,8001;68,0330;289,3991;1,6810;-1,9371;10,4912;-129,9777;True;True;-0,2803;0,8078;0,1013;322,1547;93,1895;112,1331;-0,2468;0,1340;0,5509;-138,9952;
154185;359,4501;15,0879;1,1710;-0,0241;3,0594;267,7950;358,3946;True;True;0,0239;0,9339;0,5496;321,7922;79,3434;309,8092;-3,7499;-3,2974;-7,1003;-148,4100;True;True;-0,2713;0,8067;0,0978;323,6471;94,9663;111,7965;0,1462;-0,0094;0,1668;-148,4564;
154190;359,4751;15,0925;1,1663;-0,0204;3,9450;268,4110;358,0472;True;True;-0,0324;0,9157;0,3862;313,0504;60,8674;295,3822;-0,3558;-2,9394;-6,1536;-151,1290;True;True;-0,2702;0,8037;0,0979;324,2094;94,6274;113,6129;0,1455;-0,0740;0,1888;-144,2968;
154195;359,5001;15,0980;1,1630;-0,0178;4,6887;268,5655;358,5565;True;True;0,0141;0,8937;0,2811;324,9735;47,8060;287,9820;2,9262;0,0298;-2,6759;-142,7914;True;True;-0,2638;0,8095;0,1106;325,4021;98,3898;111,5353;-0,2228;0,9489;1,4010;-140,4342;
154200;359,5251;15,1024;1,1607;-0,0140;5,1814;268,6576;358,6353;True;True;0,0508;0,8248;0,2048;329,9520;39,6179;280,3265;2,1124;-2,6410;-3,5298;-138,7520;True;True;-0,2533;0,8146;0,1136;328,2478;107,5047;108,4791;0,9759;-0,2073;0,4472;-138,3764;
154205;359,5502;15,1066;1,1592;-0,0072;6,1964;269,5705;359,5752;True;True;0,0935;0,8561;0,2067;317,0121;40,3272;264,2990;1,3178;2,3073;0,8893;-123,1796;True;True;-0,2356;0,8120;0,1200;325,5384;107,5610;110,9910;0,4634;0,0041;0,1356;-137,4818;
