Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
89115;227,9668;15,0546;1,1534;0,0100;0,7436;260,5546;5,7041;True;True;0,0662;0,6055;0,0555;42,0819;141,4424;93,7466;-19,1940;-3,2320;8,8902;141,1975;True;True;-0,0707;0,5782;0,0319;324,4868;10,6277;283,0114;-0,2152;-18,9565;14,9672;143,9754;
89120;227,9918;15,0614;1,1552;0,0094;0,1568;259,3690;5,9640;True;True;0,0686;0,6043;0,0523;43,0448;141,9164;93,5039;-0,0744;0,2104;-0,2225;142,5862;True;True;-0,0700;0,5740;0,0296;322,6468;10,6750;283,7751;-0,0712;-0,0352;-0,0247;144,5836;
89125;228,0169;15,0638;1,1581;0,0044;358,4785;258,7840;6,4343;True;True;0,0686;0,6059;0,0514;43,7675;142,4254;93,3993;0,1114;0,0090;0,0063;141,4455;True;True;-0,0688;0,5761;0,0262;325,6288;4,9520;288,5420;-0,0592;0,1066;-0,1087;145,6535;
89130;228,0419;15,0623;1,1593;-0,0021;358,2452;258,2838;6,5705;True;True;0,0689;0,6066;0,0520;42,7783;141,1454;91,2730;-0,0316;-0,0005;-0,0046;141,8100;True;True;-0,0670;0,5817;0,0297;326,0910;8,6695;285,6038;0,0553;0,0891;0,1427;144,1596;
89135;228,0669;15,0605;1,1580;-0,0079;358,5206;257,2818;6,3346;True;True;0,0729;0,6149;0,0469;46,0412;137,3981;84,1182;0,5186;1,4212;-0,3036;140,7383;True;True;-0,0728;0,5840;0,0558;322,4222;17,7064;282,5423;-1,0148;0,6528;3,3487;143,9354;
89140;228,0919;15,0614;1,1558;-0,0120;0,6952;256,1419;5,3946;True;True;0,0943;0,6485;0,0627;50,6810;104,5057;46,3692;1,0870;-1,8691;1,6939;141,9756;True;True;-0,1328;0,6844;0,1085;326,1629;51,3826;232,7106;0,8217;8,9266;0,9155;143,9392;
89145;228,117;15,0649;1,1560;-0,0146;1,0511;254,9227;4,8865;True;True;0,1251;0,6717;0,0868;53,4127;78,3022;2,5292;1,0288;1,5270;0,6257;152,2029;True;True;-0,1803;0,7025;0,1112;301,9982;30,8848;231,5932;-1,6790;0,0250;-0,8137;133,9272;
89150;228,142;15,0698;1,1561;-0,0166;1,0284;252,2193;4,4468;True;True;0,1427;0,6950;0,0929;47,1627;69,0353;342,5494;0,3159;0,6691;0,1818;152,4946;True;True;-0,1860;0,7193;0,0972;291,2718;31,5866;228,8934;0,0965;-0,1593;-0,0798;142,7525;
89155;228,167;15,0727;1,1563;-0,0154;0,9241;252,0674;4,6597;True;True;0,1445;0,6964;0,0824;44,8015;56,8958;323,2775;-0,1345;-0,2879;-0,8118;153,5401;True;True;-0,1718;0,7155;0,0723;286,2379;38,5709;213,0398;0,3411;-0,4361;-1,4963;143,2817;
89160;228,192;15,0746;1,1540;-0,0135;1,4425;251,4505;4,5363;True;True;0,1374;0,6865;0,0771;44,3668;41,7125;299,2230;0,0785;-0,6474;0,1961;-141,2263;True;True;-0,1542;0,7327;0,0552;287,2892;99,3892;134,1348;0,6629;1,3298;0,2114;140,2179;
