Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
17470;50,02148;15,1277;1,2112;0,1344;356,0190;270,5619;0,3583;True;True;0,5004;1,0164;0,2626;5,9889;104,4973;323,2941;-2,0700;-11,0701;3,4506;160,4285;True;True;-0,1768;0,7955;0,0142;336,7484;118,6476;113,4292;0,3084;-0,9122;-1,1129;-154,3556;
17475;50,04649;15,1369;1,2089;0,1171;357,2948;260,2749;0,0735;True;True;0,4415;0,8289;0,2432;13,3106;86,4536;338,3838;-2,1374;-4,9291;-1,8002;-164,5197;True;True;-0,1761;0,7974;-0,0101;334,3618;110,6961;115,6553;-0,3977;0,2851;-0,6444;-151,3206;
17480;50,07149;15,1446;1,2090;0,1051;356,1675;258,3506;359,9072;True;True;0,3073;0,7328;0,1385;30,1241;71,3125;338,3012;-7,6202;-1,4897;-6,0460;-161,7398;True;True;-0,1917;0,8148;-0,0190;339,2138;102,1947;116,5826;-0,6905;1,0748;-0,1657;-148,9171;
17485;50,0965;15,1543;1,2095;0,0829;355,8003;252,8820;359,4770;True;True;0,2497;0,7133;0,0684;40,5789;59,1042;324,1453;-0,8879;0,7553;-0,9447;-152,5302;True;True;-0,2106;0,8276;-0,0190;339,6153;101,0211;115,7244;-0,4168;0,1780;0,2079;-145,9371;
17490;50,1215;15,1604;1,2106;0,0482;355,4673;246,0359;1,4687;True;True;0,2335;0,7270;0,0478;52,4198;43,8329;310,8974;-0,7832;0,4806;-0,2730;-148,8712;True;True;-0,2043;0,8449;-0,0120;339,3618;101,7170;115,0352;0,7665;1,6994;0,1467;-144,0182;
17495;50,14651;15,1675;1,2092;-0,0192;356,0832;237,5643;4,1119;True;True;0,2567;0,7343;0,0495;45,8125;43,9567;313,6536;1,4928;0,4761;0,0208;-151,4461;True;True;-0,2654;0,8682;-0,0018;343,9410;101,7811;107,5227;-4,1812;2,4175;-0,5609;-147,1472;
17500;50,17151;15,1700;1,1982;-0,1066;356,1378;230,3802;6,7095;True;True;0,3008;0,7920;0,0527;34,0035;50,6853;321,8340;1,4205;4,0517;-0,7785;-160,8895;True;True;-0,4890;0,9530;-0,0246;337,3738;88,0023;85,5684;-12,8191;0,1327;-0,2483;-149,3256;
17505;50,19652;15,1660;1,1684;-0,2111;356,4633;224,1952;9,6369;True;True;0,3105;0,8521;0,0263;26,3532;60,7960;330,5226;-0,3914;1,1047;-1,1375;-164,0805;True;True;-0,6842;0,9344;-0,0255;307,3838;77,9861;90,4531;-6,6304;-1,2007;-1,0718;-144,4553;
17510;50,22152;15,1503;1,1522;-0,2750;357,0528;229,5126;10,3778;True;True;0,2968;0,8670;0,0330;17,3271;71,4678;334,2348;0,6781;-1,7470;3,7656;159,7006;True;True;-0,8474;0,8951;-0,0731;274,2356;355,3409;170,3121;-3,4859;-1,7377;-2,4518;-138,2528;
18715;50,24153;15,1651;1,2215;0,0362;346,8792;226,1516;1,7902;True;True;0,2739;0,6764;-0,0323;18,7569;95,9410;24,5531;0,0527;-0,1131;0,0888;150,3035;True;True;-0,1158;0,6337;-0,0124;327,1250;82,8636;202,2485;-0,0123;0,0081;-0,0020;166,6809;
18720;50,26653;15,1668;1,2238;0,0330;345,3344;224,9328;2,1743;True;True;0,2720;0,6687;-0,0319;19,9990;96,8891;26,1394;0,5294;-0,2468;0,2381;149,2076;True;True;-0,1155;0,6394;-0,0106;328,0647;80,7651;204,9111;-0,0389;0,0619;-0,0061;164,2106;
18725;50,29154;15,1682;1,2275;0,0331;342,8168;225,2037;2,2445;True;True;0,2754;0,6608;-0,0242;18,5158;94,6025;28,8843;-0,0207;0,0035;0,3199;151,8428;True;True;-0,1153;0,6422;-0,0093;328,0250;79,7759;207,5763;-0,0252;0,1338;0,0112;162,3010;
18730;50,31654;15,1672;1,2289;0,0362;341,5655;227,6649;2,2095;True;True;0,2734;0,6536;-0,0054;20,8801;95,1289;29,3971;-0,0855;-0,4083;0,8966;152,9461;True;True;-0,1139;0,6453;-0,0098;328,2523;79,4325;207,4708;-0,0036;-0,0559;0,0053;160,9622;
18735;50,34155;15,1624;1,2291;0,0428;341,7832;233,6446;1,3709;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;0,0000;0,0000;0,0000;0,0000;153,6438;True;True;-0,1140;0,6447;-0,0104;328,6164;79,2696;207,7692;-0,0681;-0,1049;-0,0806;160,3742;
18740;50,36655;15,1538;1,2262;0,0545;343,8174;242,9338;359,7154;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;0,0000;0,0000;0,0000;0,0000;153,9611;True;True;-0,1130;0,6416;-0,0124;328,1276;79,9845;205,9946;-0,0699;-0,0350;-0,0678;160,9528;
18745;50,39156;15,1459;1,2220;0,0662;347,2519;251,2866;358,0951;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;0,0000;0,0000;0,0000;0,0000;154,1141;True;True;-0,1160;0,6397;-0,0119;328,8073;82,4990;204,8557;-0,1597;-0,1182;0,0537;162,3213;
18750;50,41656;15,1401;1,2171;0,0808;350,9579;260,5146;357,3196;True;True;0,2827;0,6877;-0,0333;12,7170;86,9171;23,9352;0,8729;-6,3208;0,0889;159,5701;True;True;-0,1196;0,6354;-0,0118;327,2909;82,5398;205,0420;-0,0794;-0,2391;-0,0698;162,9993;
18755;50,44157;15,1383;1,2133;0,0903;353,1623;265,7518;357,1375;True;True;0,2719;0,6645;-0,0318;17,6760;97,6010;21,3969;-0,1063;-0,3562;0,1050;156,7728;True;True;-0,1201;0,6281;-0,0123;329,3176;84,2728;202,5585;-0,1646;-0,2671;-0,0581;164,1991;
18760;50,46658;15,1387;1,2099;0,0975;355,2423;269,7523;357,4703;True;True;0,2766;0,6620;-0,0311;17,5337;96,3528;21,3454;0,1303;0,0215;0,0126;156,3678;True;True;-0,1196;0,6263;-0,0123;327,4633;84,8220;201,7032;-0,0122;0,0527;-0,0180;165,2947;
18765;50,49158;15,1386;1,2067;0,0949;356,1125;268,2827;357,9823;True;True;0,2832;0,6604;-0,0289;24,9679;98,2812;21,0703;0,5528;-0,2586;0,1123;155,9239;True;True;-0,1245;0,6401;0,0034;324,0462;83,3784;201,2695;-0,5365;1,1722;1,4490;166,2253;
18770;50,51659;15,1368;1,2049;0,0822;358,2038;263,7648;358,6929;True;True;0,2903;0,6693;-0,0249;34,5022;92,6794;3,6486;0,0661;0,6386;0,4727;160,0047;True;True;-0,1029;0,8254;0,1035;336,5428;106,9491;160,5877;0,0326;6,4209;3,9111;-166,0358;
18775;50,54159;15,1315;1,2028;0,0642;359,8173;260,1718;359,5941;True;True;0,3053;0,6896;0,0011;29,1858;80,1585;355,3326;0,9511;0,4926;1,4778;166,1176;True;True;-0,0926;0,9556;0,1716;348,7233;114,8329;127,3536;1,5405;4,9296;2,4156;-151,7840;
18780;50,5666;15,1147;1,1981;0,0391;1,0560;257,5798;0,7999;True;True;0,3091;0,7227;-0,0062;34,0703;77,6567;350,9111;0,6994;1,5730;-0,6081;-170,5566;True;True;-0,0928;0,9543;0,2669;359,6896;118,5320;107,9383;1,1980;-0,1532;4,0748;-144,1277;
