Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
186190;459,4727;15,0383;1,2037;-0,0252;0,8018;267,8826;2,3480;True;True;0,1059;0,6443;0,0806;7,6486;88,0895;14,6751;0,0745;-0,0532;-0,0032;151,0234;True;True;-0,1144;0,7494;0,1952;330,2056;167,3232;76,1406;0,3569;-3,2243;-0,2123;-121,4417;
186195;459,4977;15,0363;1,2008;-0,0199;0,9677;267,9637;2,1769;True;True;0,1105;0,6424;0,0803;9,1640;88,6892;14,4457;0,3359;-0,0809;0,0361;149,5125;True;True;-0,1228;0,7102;0,1624;307,8904;130,3096;128,3333;-0,5207;-4,5793;-0,8398;146,2989;
186200;459,5227;15,0343;1,1973;-0,0137;1,2598;268,4869;1,5313;True;True;0,1110;0,6402;0,0810;8,6553;88,1760;12,9975;0,0073;-0,0729;-0,0086;153,5174;True;True;-0,1307;0,6687;0,1478;324,9442;100,8811;174,8432;-0,3744;-0,8472;-0,3450;153,8382;
186205;459,5477;15,0325;1,1948;-0,0079;1,9010;269,5136;0,4582;True;True;0,1116;0,6348;0,0820;10,9814;89,7078;12,6075;-0,0379;-0,2307;-0,1415;154,9298;True;True;-0,1260;0,6321;0,1260;334,1250;89,3367;195,1874;0,1181;-0,8732;-0,4772;156,9810;
186210;459,5728;15,0308;1,1942;-0,0025;1,8929;271,8297;0,3450;True;True;0,1103;0,6345;0,0814;10,7225;88,8134;13,2972;0,0067;-0,0022;0,0168;156,2704;True;True;-0,1259;0,6101;0,1064;345,4703;90,2638;197,9140;0,0308;-0,4032;-0,8138;155,4938;
186950;459,5878;15,1887;1,1969;-0,0097;7,6311;263,7595;1,2519;True;True;0,0295;0,6213;0,0861;339,9753;73,6145;23,1326;-0,7900;0,1130;-0,3740;-157,4872;True;True;-0,0421;0,6206;0,0946;28,7316;117,9844;210,5220;-0,4552;-0,7865;-0,1742;157,7069;
186955;459,6128;15,2091;1,1973;-0,0100;7,9967;262,7992;0,9618;True;True;0,0249;0,6137;0,0799;336,6774;73,5715;24,9447;-0,3280;0,1182;-0,2463;-155,3377;True;True;-0,0419;0,6090;0,0755;36,3454;128,2336;215,6136;-0,0619;-0,3970;-0,3919;-159,4308;
186960;459,6378;15,2309;1,1952;-0,0071;8,5834;264,1617;0,7071;True;True;0,0185;0,6136;0,0585;344,0728;71,5913;19,1069;0,0373;1,3808;-1,1292;-156,3223;True;True;-0,0275;0,6001;0,0604;41,7518;146,6653;232,8775;0,4712;0,8555;-0,8945;-161,0594;
186965;459,6628;15,2449;1,1943;-0,0030;8,4285;266,0501;0,8946;True;True;0,0467;0,6112;0,0511;329,0672;60,4039;20,6098;2,1425;-0,1314;-0,4146;-162,3673;True;True;-0,0373;0,6009;0,0649;38,9049;142,7723;227,7482;-0,5206;0,0544;0,5485;163,3598;
186970;459,6879;15,2546;1,1941;0,0020;8,1808;268,2398;0,8037;True;True;0,0482;0,6084;0,0607;330,1628;59,4953;29,9660;-0,2507;0,2064;-0,1650;-163,4949;True;True;-0,0413;0,5994;0,0612;36,4595;136,7813;220,9408;-0,2881;-0,3363;-0,4407;-166,7847;
186975;459,7129;15,2568;1,1954;0,0093;7,1642;273,9176;1,3889;True;True;0,0444;0,6148;0,0588;335,3378;62,6323;28,9064;0,2916;0,2164;-0,5996;-162,4982;True;True;-0,0390;0,6031;0,0567;30,7375;127,6417;213,2405;0,3429;0,4249;-0,0827;-166,1924;
186980;459,7379;15,2560;1,1962;0,0148;6,7114;277,6069;1,1242;True;True;0,0465;0,6209;0,0588;339,0499;63,5059;24,4298;-0,2837;0,4413;0,1071;-164,7261;True;True;-0,0397;0,6048;0,0574;29,5237;127,3995;213,6516;-0,0146;0,0454;-0,0071;-164,5603;
186985;459,7629;15,2539;1,1966;0,0207;6,0603;281,7139;1,1801;True;True;0,0444;0,6253;0,0572;338,5061;63,7416;24,7263;0,0302;-0,0613;0,0349;-164,3583;True;True;-0,0403;0,6128;0,0590;29,9715;128,2230;214,7751;-0,1372;0,1104;-0,0732;-162,9602;
186990;459,788;15,2532;1,1973;0,0291;6,0830;288,2647;1,5687;True;True;0,0436;0,6244;0,0592;339,8837;65,4750;24,0949;-0,2560;-0,0299;0,2106;-164,3729;True;True;-0,0415;0,6136;0,0589;28,5046;127,7177;215,0019;0,1014;0,1622;0,1256;-162,2982;
186995;459,813;15,2548;1,1991;0,0392;5,6255;295,3760;1,0947;True;True;0,0633;0,6240;0,0616;346,6931;63,3560;22,2672;2,0492;0,5355;0,7304;-165,8072;True;True;-0,0350;0,6188;0,0537;33,0760;128,1994;215,5343;-0,0331;0,1968;-0,1171;-159,0796;
187000;459,838;15,2569;1,1999;0,0468;4,5776;300,7793;1,4984;True;True;0,2764;0,7463;-0,0235;24,7801;72,9801;5,1933;6,0078;-4,5645;-8,8034;172,7820;True;True;-0,0431;0,6237;0,0442;34,7513;141,2856;224,6108;0,3231;0,8180;0,3483;-156,5146;
187005;459,863;15,2647;1,2029;0,0584;4,2353;305,5243;1,5365;True;True;0,4017;0,8772;-0,0491;33,0482;89,8745;319,2907;1,4177;6,4959;-5,9419;-134,5320;True;True;-0,0406;0,6356;0,0439;38,0989;147,4624;228,8849;-0,0616;0,0503;-0,0352;149,0099;
187010;459,8881;15,2727;1,2066;0,0711;2,1318;308,5976;1,8967;True;True;0,5408;1,0380;-0,1381;37,8690;104,4264;281,2016;5,4980;9,3689;-3,6727;-125,4255;True;True;-0,0415;0,6336;0,0464;33,5648;144,0678;223,8782;0,1021;0,1540;0,1237;151,0244;
187015;459,9131;15,2819;1,2100;0,0913;0,9754;310,5117;3,6037;True;True;0,7211;1,2614;-0,1939;30,1853;113,3410;274,9879;6,9405;9,3610;-1,3108;-135,3624;True;True;-0,0401;0,6313;0,0460;35,2475;147,5121;226,2618;0,1081;-0,2435;-0,3011;151,1431;
