Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
198820;484,5121;15,0854;1,2180;-0,0986;350,4768;246,6594;4,4612;True;True;0,1452;0,9350;0,1326;48,2163;33,2896;295,7940;0,7166;-0,3640;0,1648;137,4475;True;True;-0,3228;1,1176;0,2222;6,4892;143,1412;157,9909;0,6740;-0,3657;-0,2747;147,8872;
198825;484,5371;15,0826;1,2172;-0,0575;350,1941;259,3347;3,7351;True;True;0,1295;0,9411;0,1306;48,4026;4,9205;272,6407;-0,1868;-0,0470;-0,2918;148,0393;True;True;-0,2991;1,0876;0,2028;354,0543;151,7522;143,8721;1,3492;-0,9825;-0,9175;158,3940;
198830;484,5621;15,0841;1,2164;-0,0255;351,7729;268,1837;2,3457;True;True;0,1624;0,9393;0,1128;49,4371;4,2775;269,6542;0,6881;0,2046;-0,7134;150,0732;True;True;-0,2581;1,0619;0,2130;344,4681;157,1541;140,3971;1,6802;-1,4641;0,5338;-166,6505;
198835;484,5872;15,0889;1,2132;0,0059;353,5547;278,8996;1,0034;True;True;0,1982;0,9390;0,0880;47,2115;21,8662;279,5252;0,8357;-0,1917;-0,3357;151,9514;True;True;-0,2257;1,0282;0,2121;340,8556;161,6257;131,1279;0,7701;-1,4165;0,7078;-173,1656;
198840;484,6122;15,0949;1,2110;0,0244;355,5219;284,7238;1,2698;True;True;0,2205;0,9325;0,0799;49,3667;17,7329;266,7789;1,3300;-0,5662;-0,0279;151,1624;True;True;-0,2266;0,9993;0,2175;344,4466;161,7578;120,0711;-0,9647;-2,2598;0,8163;-171,2321;
198845;484,6372;15,1046;1,2077;0,0460;356,8898;295,0664;1,4896;True;True;0,2553;0,9515;0,0658;45,6907;39,1843;268,3170;1,9186;2,3230;-0,8807;144,7843;True;True;-0,2056;0,9808;0,2119;341,5816;165,1246;109,4192;0,2451;0,0086;-0,0720;-161,6887;
198850;484,6622;15,1105;1,2145;0,0700;354,6751;302,0593;2,3304;True;True;0,5149;1,0945;0,1466;30,7345;100,5913;253,2121;11,4655;5,9749;3,3180;-138,3379;True;True;-0,1789;0,9851;0,1951;338,3809;156,8859;114,9421;-0,0765;-0,3750;-0,7991;-164,5407;
198855;484,6873;15,1082;1,2217;0,1117;350,2468;308,1512;1,4665;True;True;0,8000;1,1453;0,1210;68,2827;135,4427;298,2375;9,8177;-4,0513;4,6274;-138,0253;True;True;-0,2027;0,9777;0,2476;331,5151;157,5777;125,0935;-2,8507;0,2584;6,4821;-172,2560;
201685;484,7023;15,0872;1,1950;0,0025;359,9701;267,0978;358,3461;True;True;0,1240;0,9902;0,1085;359,5259;56,9983;271,2794;0,0363;0,2444;0,0776;-147,0765;True;True;-0,1511;0,9974;0,1068;2,4002;101,9489;87,9078;0,0124;0,3481;-0,0331;-146,1759;
201690;484,7273;15,0880;1,1952;0,0024;359,7891;267,0755;358,3716;True;True;0,1248;0,9895;0,1082;359,5951;57,5100;271,3318;-0,0662;0,0605;-0,0015;-147,2736;True;True;-0,1512;0,9974;0,1055;2,7455;103,6586;88,9665;-0,0758;0,3675;0,0039;-146,5184;
