Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
188465;467,1702;15,2623;1,1990;0,0074;0,5541;263,7615;359,0062;True;True;0,1965;0,7425;-0,0489;28,4927;62,0036;274,4916;0,0089;0,0168;0,0262;-121,0689;True;True;-0,1936;0,8360;-0,1055;298,9753;142,9563;92,6107;-0,0521;-0,3006;0,0752;-136,4178;
188470;467,1952;15,2626;1,1985;0,0097;0,9212;264,0446;358,3160;True;True;0,2016;0,7383;-0,0507;30,5074;59,8575;274,2202;0,2412;-0,1884;-0,1230;-119,4636;True;True;-0,1966;0,8314;-0,1043;300,7208;141,7748;93,3778;-0,2252;-0,1549;0,0206;-135,6930;
188475;467,2202;15,2627;1,1984;0,0116;0,9337;264,3159;357,6944;True;True;0,2063;0,7406;-0,0510;30,1431;57,2519;273,4655;-0,0363;0,2090;0,0133;-120,9644;True;True;-0,2049;0,8324;-0,1130;304,3657;141,8508;95,7715;-0,1778;0,3025;-0,5323;-137,6707;
195370;467,2452;15,1231;1,1928;-0,0070;356,1961;272,2088;2,7449;True;True;0,2375;0,9991;0,1111;16,4730;63,7830;262,4033;6,1066;52,1248;31,8835;-135,7613;True;True;-0,2154;1,0055;0,1786;350,8469;126,3208;87,3529;-0,8528;34,3511;58,8429;-140,4294;
195375;467,2703;15,1235;1,1927;-0,0060;356,2322;272,4045;2,4598;True;True;0,2379;0,9983;0,1104;17,7239;65,3197;263,3849;0,0002;-0,0017;0,0111;-135,6136;True;True;-0,2154;1,0061;0,1785;351,0124;125,8540;88,2730;0,0009;-0,0054;0,0048;-140,7155;
195380;467,2953;15,1238;1,1924;-0,0056;356,4087;272,3983;2,5563;True;True;0,2387;0,9984;0,1107;17,1564;66,9568;263,4771;-0,0169;-0,0221;-0,0167;-135,7483;True;True;-0,2256;1,0103;0,1867;352,7478;124,7833;87,6718;0,0783;-0,7790;0,8095;-141,0483;
195385;467,3203;15,1239;1,1920;-0,0078;356,8213;270,6084;2,7022;True;True;0,2393;0,9956;0,1112;17,3305;67,2565;263,5865;-0,0039;-0,2673;0,1251;-135,6786;True;True;-0,2169;0,9993;0,1776;354,9335;117,5092;86,3681;1,8077;-1,1922;-1,4901;-138,3843;
195390;467,3453;15,1239;1,1911;-0,0091;357,2991;269,8781;2,6729;True;True;0,2338;0,9900;0,1135;17,9346;67,8692;265,3666;-0,0920;-0,0740;-0,0086;-135,7781;True;True;-0,2273;0,9993;0,1713;352,8506;121,2165;89,3503;-0,0793;-0,0641;-0,0548;-141,0098;
195395;467,3704;15,1241;1,1914;-0,0122;357,5829;268,6866;2,6727;True;True;0,2303;0,9904;0,1228;18,1660;71,4285;264,0559;-0,3352;0,1858;0,7218;-135,6855;True;True;-0,2398;0,9989;0,1674;352,3781;119,4196;89,5373;-0,5773;0,1666;-0,2274;-140,8845;
195400;467,3954;15,1244;1,1906;-0,0155;357,9602;268,2484;2,8492;True;True;0,2265;0,9873;0,1321;16,6275;69,1772;262,9828;-0,2885;-0,2381;0,1575;-134,1236;True;True;-0,2460;1,0001;0,1650;351,8275;118,7870;89,5504;-0,2817;0,0195;-0,1217;-141,3354;
195405;467,4204;15,1246;1,1909;-0,0183;357,8162;267,8235;2,7213;True;True;0,2147;0,9876;0,1396;15,8951;63,8672;262,8454;-0,4237;-0,0672;0,3480;-134,1359;True;True;-0,2631;1,0034;0,1704;352,2773;119,7832;87,9264;-0,3808;-0,1228;0,6125;-141,4447;
195410;467,4454;15,1255;1,1902;-0,0190;358,3660;268,9687;2,6752;True;True;0,2084;0,9943;0,1392;15,4291;59,8687;262,8506;-0,5574;0,0209;-0,2027;-133,9506;True;True;-0,2691;0,9999;0,1656;353,6330;116,9843;87,6507;0,0544;-0,0370;-0,3024;-138,5865;
195415;467,4705;15,1265;1,1894;-0,0148;358,7721;272,2173;2,6215;True;True;0,2120;0,9953;0,1312;13,9585;57,1475;262,9725;1,0937;-0,0123;-1,0412;-132,9830;True;True;-0,2694;1,0010;0,1644;353,7411;117,0352;89,3206;0,0157;-0,0051;0,0125;-139,6008;
195420;467,4955;15,1279;1,1889;-0,0044;359,3408;279,2018;2,2341;True;True;0,2257;1,0030;0,1118;14,8730;54,7234;266,5969;0,4572;0,3542;-0,1901;-136,0699;True;True;-0,2590;0,9950;0,1692;355,1442;121,4439;89,9676;0,6889;-0,4002;0,2632;-139,8493;
195425;467,5205;15,1302;1,1886;0,0026;359,5992;282,6496;2,4264;True;True;0,2430;1,0054;0,0983;12,2004;56,2813;261,5752;1,5734;-0,3223;-1,0500;-135,6536;True;True;-0,2357;0,9949;0,1763;348,4824;120,4187;93,1478;1,2527;0,3680;0,4012;-141,0790;
195430;467,5455;15,1332;1,1895;0,0061;359,0729;282,5329;2,3479;True;True;0,2525;1,0035;0,0656;10,6128;66,2004;264,6182;0,3143;0,1507;-0,8437;-135,8801;True;True;-0,2227;1,0007;0,1804;349,7326;118,6692;93,4282;-0,0952;-0,2317;0,1722;-142,4827;
195435;467,5706;15,1350;1,1895;0,0085;358,9264;282,4041;2,3606;True;True;0,2642;1,0023;0,0787;14,8898;64,0596;265,1703;-0,3081;-0,1926;0,5608;-138,5446;True;True;-0,2217;1,0016;0,1840;349,4698;123,5588;90,3531;-0,0980;0,0818;-0,1285;-141,9882;
