Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
177670;444,5831;15,0253;1,2408;-0,2356;354,1375;261,6629;5,7847;True;True;0,0031;0,8515;0,1555;2,2242;24,2897;323,7532;2,4005;-0,4786;-2,0696;-159,5121;True;True;-0,3560;0,8524;0,1382;342,6053;129,4843;98,1103;3,4851;9,1752;1,6693;-131,3508;
177675;444,6082;15,0416;1,2484;-0,1884;354,8029;259,6496;5,5371;True;True;0,0358;0,8865;0,1521;356,2727;34,1576;308,9109;1,1237;1,0484;0,4079;-153,4789;True;True;-0,3226;0,8578;0,1267;355,8632;141,3495;96,1372;0,2616;-1,0454;0,9466;-130,6745;
177680;444,6332;15,0537;1,2556;-0,1486;353,4338;259,0676;5,5616;True;True;0,0570;0,9934;0,1411;343,4653;48,5102;289,6526;0,8582;6,7116;-1,7193;-147,0430;True;True;-0,2987;0,8844;0,1125;3,3452;145,5237;95,0184;1,8559;4,2392;-1,7160;-125,0635;
177685;444,6582;15,0468;1,2788;-0,0943;346,7254;259,0998;5,1504;True;True;0,0769;1,0845;0,2288;338,0837;59,6779;266,2588;0,7083;3,0177;1,7049;-145,3966;True;True;-0,2757;0,8509;0,0686;352,1299;137,5607;96,9922;0,9622;-1,2886;-1,1870;-130,4670;
177690;444,6832;15,0250;1,2963;-0,0256;341,5509;259,8223;3,8175;True;True;0,1316;1,2138;0,3224;342,6792;70,6181;249,1021;1,5707;2,3769;6,4629;-153,0723;True;True;-0,3038;0,8674;0,0410;350,9568;115,5800;107,5800;-0,4148;0,7616;-0,6186;-139,1851;
177695;444,7083;14,9923;1,3144;0,0769;332,6966;263,4174;2,4798;True;True;0,1024;1,3790;0,5084;356,4356;63,3858;239,1799;-3,0726;1,7345;9,1843;-145,9508;True;True;-0,3046;0,8923;-0,0156;338,2825;108,4946;116,7266;-0,1129;0,4881;-0,2641;-150,5457;
177700;444,7333;14,9828;1,3315;0,1337;335,7958;270,1703;354,3889;True;True;0,1006;1,2583;0,6390;4,0184;79,4780;305,3630;-2,2178;-4,6834;-5,2732;-165,8025;True;True;-0,2631;0,9256;-0,0119;337,1453;105,1106;112,3439;1,9421;1,9259;0,6224;-152,5197;
181825;444,7783;15,2342;1,2025;-0,0092;0,9233;268,4392;0,7128;True;True;0,0535;0,6835;0,0180;353,5331;49,7715;34,2275;0,4178;-0,2787;0,0188;155,6907;True;True;-0,0909;0,6289;0,0057;356,1018;118,5400;179,1336;-0,0079;0,0574;-0,0571;-167,0232;
181830;444,8033;15,2346;1,2024;-0,0100;0,9971;268,2074;0,6565;True;True;0,0538;0,6846;0,0163;351,1280;46,8568;34,8494;0,1038;0,2910;0,0741;155,6907;True;True;-0,0911;0,6271;0,0057;356,5169;118,3364;178,9655;-0,0141;0,0032;-0,1265;-167,0232;
181835;444,8284;15,2348;1,2016;-0,0099;1,5643;268,3137;0,4274;True;True;0,0508;0,6852;0,0143;351,3915;52,1087;34,3130;0,0124;0,1022;0,0447;155,9021;True;True;-0,0911;0,6303;0,0047;355,1625;118,7739;177,8065;-0,0132;-0,0287;0,0041;-165,7493;
181840;444,8534;15,2346;1,2010;-0,0092;1,9110;268,8076;0,4290;True;True;0,0563;0,6842;0,0150;355,5511;55,9304;33,2548;-0,2521;-0,0744;0,0784;155,0886;True;True;-0,0908;0,6272;0,0057;355,4507;118,4085;178,2451;0,0339;-0,3864;0,0328;-165,4812;
181845;444,8784;15,2343;1,2006;-0,0086;2,1517;269,1147;0,3632;True;True;0,0533;0,6842;0,0180;354,0756;49,9197;34,4222;-0,0560;0,1003;0,0093;155,5792;True;True;-0,0907;0,6270;0,0056;353,1167;117,7891;176,9401;0,0606;-0,0610;0,0342;-164,4175;
181850;444,9034;15,2342;1,2005;-0,0071;2,4167;270,2275;0,3857;True;True;0,0479;0,6814;0,0152;350,9951;52,8433;32,7584;-0,8655;-0,2321;-0,2206;155,9646;True;True;-0,0901;0,6288;0,0055;352,6796;117,8278;177,8145;-0,0323;-0,0151;-0,0130;-164,8848;
181855;444,9285;15,2346;1,1994;-0,0048;3,3214;271,8568;0,1988;True;True;0,0564;0,6826;0,0146;354,0690;52,5896;32,4919;-0,1296;-0,0221;-0,0045;155,6849;True;True;-0,0909;0,6273;0,0061;353,1874;118,5037;178,0815;-0,0286;-0,0196;0,1009;-164,9553;
