Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
12630;25,81867;15,1867;1,2101;0,0768;358,7410;268,6089;357,4602;True;True;0,2496;0,9334;0,0657;35,8137;38,5817;294,2521;0,0143;-0,1572;-0,2940;-150,1832;True;True;-0,0904;0,9398;0,0613;322,2819;158,6967;111,9319;-0,1177;-0,2670;-0,1844;-153,3486;
12635;25,84367;15,1869;1,2102;0,0768;358,5592;268,4995;357,5010;True;True;0,2453;0,9258;0,0598;39,3818;33,4094;287,4725;0,1835;-0,6743;-0,3146;-148,5147;True;True;-0,0943;0,9314;0,0500;315,6498;158,0394;112,5004;0,0113;-0,0739;-0,6399;-153,4533;
12640;25,86866;15,1858;1,2099;0,0759;358,6688;267,9258;357,5987;True;True;0,2455;0,9201;0,0466;41,2706;31,9019;280,6046;-0,1902;-0,0469;-0,4105;-145,8400;True;True;-0,0964;0,9253;0,0433;314,8670;162,3667;99,9332;-0,0726;-0,0764;-0,0531;-149,5596;
12645;25,89366;15,1844;1,2093;0,0755;359,0070;267,7451;357,4979;True;True;0,2446;0,9169;0,0388;43,6539;30,7480;275,1468;-0,0775;0,0256;-0,0007;-140,4644;True;True;-0,0967;0,9225;0,0429;314,3573;161,1935;92,2882;0,0494;-0,1264;0,0623;-141,4501;
12650;25,91865;15,1826;1,2087;0,0759;359,4301;268,0016;357,3367;True;True;0,2453;0,9155;0,0392;44,4449;30,1691;277,0448;0,2698;0,0099;-0,0202;-139,3621;True;True;-0,0985;0,9209;0,0437;313,6840;162,1054;90,8144;-0,1639;-0,1215;0,0264;-139,3654;
12655;25,94365;15,1806;1,2085;0,0756;359,5328;267,8950;357,3995;True;True;0,2475;0,9143;0,0398;42,8117;32,6131;278,9959;0,0365;0,0595;-0,1227;-141,1894;True;True;-0,1001;0,9188;0,0448;314,8430;160,3960;92,7105;0,0163;-0,0147;0,0415;-140,3431;
12660;25,96865;15,1789;1,2084;0,0754;359,7034;268,2529;357,4518;True;True;0,2483;0,9152;0,0386;41,2741;37,2062;282,8737;0,0088;0,0280;0,0047;-141,2849;True;True;-0,1000;0,9174;0,0464;317,1804;158,0618;94,7113;0,0220;0,0193;-0,0160;-140,4193;
12665;25,99364;15,1777;1,2081;0,0765;359,8954;269,0916;357,6396;True;True;0,2472;0,9164;0,0379;41,9853;36,3014;280,7705;-0,0565;-0,0013;-0,0046;-141,0687;True;True;-0,1010;0,9163;0,0493;320,6547;155,7688;95,4845;-0,0050;-0,0011;0,0009;-140,9612;
12670;26,01864;15,1763;1,2080;0,0744;0,0644;267,8588;357,7400;True;True;0,2447;0,9167;0,0385;39,3457;37,9571;281,2562;-0,1511;0,0358;0,0144;-140,5162;True;True;-0,1002;0,9177;0,0499;321,8955;156,0698;95,2085;0,0230;0,0780;0,0479;-140,8710;
12675;26,04363;15,1740;1,2072;0,0707;0,4943;265,9785;358,1235;True;True;0,2421;0,9159;0,0395;40,5793;36,6024;281,1818;-0,0820;-0,0514;-0,0056;-140,2910;True;True;-0,1009;0,9228;0,0530;323,5947;149,8569;98,4990;-0,1327;0,1845;-0,0086;-140,4394;
