Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
161140;390,6505;15,0320;1,2024;0,1196;345,7748;281,8669;359,5466;True;True;0,1152;0,9816;0,3387;339,8715;60,5419;356,5474;1,0037;-13,5449;-10,3165;-151,1146;True;True;-0,1725;0,8106;0,0956;313,2200;98,1992;123,6890;0,1483;-0,7936;-1,6722;-165,2112;
164935;390,6605;15,0682;1,2518;-0,0191;359,4426;264,2015;0,4800;True;True;0,2132;0,8724;0,1111;23,8834;60,8500;293,3520;-0,0841;-0,0347;0,0089;-143,8820;True;True;-0,2620;0,8954;0,1002;325,5345;122,3847;113,0678;0,0232;0,0146;-0,0188;-145,5323;
164940;390,6855;15,0690;1,2518;-0,0188;359,5462;264,1949;0,4267;True;True;0,2120;0,8723;0,1107;24,4211;60,6210;292,9192;-0,0181;-0,0034;0,0362;-143,0847;True;True;-0,2615;0,8949;0,1001;324,9290;123,0524;112,3340;0,0095;-0,0057;-0,0205;-145,4715;
164945;390,7106;15,0714;1,2516;-0,0182;359,8670;264,2900;0,4295;True;True;0,2122;0,8722;0,1095;23,9770;61,4193;293,5074;0,0328;0,0388;-0,0113;-143,0903;True;True;-0,2607;0,8951;0,0995;324,4752;123,9147;111,4991;0,0072;0,0114;-0,0270;-145,0247;
164950;390,7356;15,0747;1,2516;-0,0176;359,9764;264,5281;0,4669;True;True;0,2122;0,8733;0,1071;24,0783;60,8961;293,2706;-0,0109;0,0672;-0,1255;-142,8472;True;True;-0,2613;0,8951;0,0982;325,2005;123,6102;111,7248;0,0118;0,0143;-0,0739;-144,9251;
164955;390,7606;15,0768;1,2514;-0,0178;0,1204;264,4024;0,5007;True;True;0,2132;0,8740;0,1051;23,8588;60,6421;292,8488;0,0843;0,0288;-0,2046;-142,4976;True;True;-0,2609;0,8957;0,0953;325,5380;122,9388;111,5758;-0,0224;-0,0259;-0,1371;-144,7288;
164960;390,7856;15,0778;1,2513;-0,0192;0,1576;263,8364;0,5875;True;True;0,2135;0,8752;0,1028;24,0288;59,9077;293,0428;-0,0275;0,0160;0,0041;-143,0759;True;True;-0,2615;0,8967;0,0929;325,4738;122,3440;111,0849;-0,1045;0,0829;-0,1002;-144,0421;
164965;390,8107;15,0774;1,2514;-0,0225;0,1616;262,2343;0,6328;True;True;0,2110;0,8751;0,1028;23,4821;60,6035;293,6367;-0,2477;-0,1551;0,1051;-143,2086;True;True;-0,2680;0,8982;0,0901;326,3956;120,9770;111,2962;-0,2572;0,2738;-0,0169;-144,2085;
164970;390,8357;15,0767;1,2515;-0,0265;0,3758;260,9311;0,9803;True;True;0,2057;0,8753;0,1054;24,7110;59,0164;293,5139;-0,1191;-0,0314;0,0720;-143,0768;True;True;-0,2774;0,9044;0,0899;327,3414;121,3703;109,5196;-0,2402;0,2529;0,0012;-143,9234;
164975;390,8607;15,0761;1,2518;-0,0316;0,3006;258,6044;0,7454;True;True;0,1969;0,8787;0,1137;24,2711;55,4321;291,7579;-0,5404;0,3485;0,5008;-143,0806;True;True;-0,2845;0,9145;0,0904;330,9154;118,5171;107,4503;-0,1175;0,5682;-0,0143;-143,1158;
164980;390,8857;15,0763;1,2530;-0,0374;0,2833;255,5909;1,0151;True;True;0,1895;0,8790;0,1211;21,9755;55,4025;290,9910;-0,1452;0,0028;0,1348;-142,3247;True;True;-0,2907;0,9215;0,0941;331,6035;117,6225;108,4985;-0,1039;0,1757;0,1350;-142,5705;
164985;390,9108;15,0746;1,2513;-0,0449;359,9598;253,8859;1,0970;True;True;0,1868;0,8809;0,1227;23,0463;55,7643;291,9840;-0,1557;0,3544;-0,0519;-142,1541;True;True;-0,2916;0,9395;0,1009;338,3709;112,2417;104,6478;-0,7514;1,0356;0,3768;-141,9977;
