Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
114275;265,3983;14,9523;1,3012;0,0026;1,2670;273,1506;358,4884;True;True;0,4521;0,7784;0,1094;40,1819;274,4914;89,3962;-3,1187;2,9138;-3,0022;129,2053;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;180,0000;0,0000;0,0000;0,0000;126,6922;
114280;265,4233;14,9564;1,3010;0,0045;2,4825;272,2749;359,9512;True;True;0,4172;0,8233;0,0944;44,5258;248,6255;63,6480;-2,1218;4,7291;0,2531;117,1395;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;180,0000;0,0000;0,0000;0,0000;98,8585;
114285;265,4484;14,9603;1,3010;0,0059;3,0774;270,4749;1,4144;True;True;0,4533;0,8015;0,1290;4,5984;190,7899;29,4209;-0,9365;0,0617;0,1867;112,7738;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;180,0000;0,0000;0,0000;0,0000;127,6164;
114290;265,4734;14,9636;1,3010;0,0094;3,5415;269,1848;0,6273;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;0,0000;-89,7611;-158,6469;-25,7782;114,5318;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;180,0000;0,0000;0,0000;0,0000;121,9885;
114295;265,4984;14,9657;1,3003;0,0146;4,0224;269,6213;359,9400;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;0,0000;0,0000;0,0000;0,0000;114,3139;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;180,0000;0,0000;0,0000;0,0000;127,3765;
114300;265,5234;14,9656;1,2997;0,0176;4,0525;270,8520;359,6468;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;0,0000;0,0000;0,0000;0,0000;113,8943;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;180,0000;0,0000;0,0000;0,0000;124,2144;
114305;265,5485;14,9626;1,3005;0,0160;3,2976;271,4769;359,1494;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;0,0000;0,0000;0,0000;0,0000;114,4375;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;180,0000;0,0000;0,0000;0,0000;124,0049;
114310;265,5735;14,9568;1,3002;0,0113;2,8192;271,9175;359,3060;True;True;0,4107;0,8305;0,2452;355,4189;165,2507;34,7110;0,0550;1,4672;0,7523;115,2070;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;180,0000;0,0000;0,0000;0,0000;123,3711;
114315;265,5985;14,9510;1,2968;0,0060;4,3539;272,7347;0,6411;True;True;0,3801;0,8427;0,3048;41,2830;270,2224;113,9200;-4,9511;3,4897;9,7003;121,2840;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;180,0000;0,0000;0,0000;0,0000;108,1333;
114320;265,6235;14,9457;1,2915;0,0033;7,1270;272,6049;1,1086;True;True;0,3337;0,8716;0,3692;32,0297;268,8424;146,3462;-4,6178;3,6572;1,2236;134,0840;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;180,0000;0,0000;0,0000;0,0000;110,7548;
114325;265,6486;14,9394;1,2861;0,0054;10,0102;275,0146;359,6870;True;True;0,2295;0,9339;0,3624;29,8616;257,4383;173,2342;-3,1365;1,8119;-0,1079;147,9308;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;180,0000;0,0000;0,0000;0,0000;103,5529;
114330;265,6736;14,9299;1,2802;0,0090;12,1073;278,5417;358,9169;True;True;0,1706;0,9741;0,3517;24,3583;240,7085;188,5620;-3,7581;3,7601;-1,8983;158,9331;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;180,0000;0,0000;0,0000;0,0000;101,5637;
114335;265,6986;14,9193;1,2740;0,0103;13,9006;280,9611;358,6027;True;True;0,1734;0,9863;0,3270;31,1317;236,4908;189,6363;0,6833;0,0959;-1,0000;156,5719;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;180,0000;0,0000;0,0000;0,0000;121,1561;
114340;265,7236;14,9078;1,2688;0,0103;15,2609;282,7782;359,2451;True;True;0,2022;0,9839;0,3175;34,0585;245,8687;190,7836;0,9075;0,1500;-0,1203;158,0549;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;180,0000;0,0000;0,0000;0,0000;84,9213;
114345;265,7487;14,9025;1,2644;0,0112;16,8085;284,5240;0,2197;True;True;0,2197;0,9820;0,3057;41,8242;260,5188;186,9464;0,3190;-0,4428;0,2488;157,3206;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;180,0000;0,0000;0,0000;0,0000;121,4656;
114350;265,7737;14,9010;1,2622;0,0130;17,6428;287,6262;1,6738;True;True;0,2634;0,9769;0,3204;44,0686;253,2103;176,7952;4,2367;-0,6632;1,5180;154,3244;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;180,0000;0,0000;0,0000;0,0000;83,8538;
114355;265,7987;14,9065;1,2556;0,0226;20,8228;295,5201;4,9278;True;True;0,3417;0,9203;0,3768;38,0193;270,4456;179,1554;4,5282;-4,3025;3,6203;156,2016;True;True;-0,2629;0,9569;0,0807;302,8622;288,3709;317,7884;1,3544;7,0198;-1,9713;86,3489;
