Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
115870;273,3811;14,8930;1,2793;-0,0068;5,2006;276,1665;1,8585;True;True;0,0275;0,7763;0,3524;59,5914;162,6788;112,2654;-0,8521;-0,7767;1,6554;152,1546;True;True;-0,2115;0,7872;0,2738;314,2845;118,8908;166,6109;-2,3158;3,0514;-0,6285;-162,2650;
115875;273,4061;14,9022;1,2823;-0,0185;3,5948;276,4121;2,3888;True;True;0,0071;0,7356;0,3847;49,1526;183,6218;149,0952;-1,5766;-0,0545;1,4608;162,3417;True;True;-0,2018;0,7912;0,2592;343,5972;116,8844;195,6793;0,9420;-1,8991;-0,5688;158,5418;
115880;273,4312;14,9084;1,2878;-0,0309;0,9903;275,8573;3,7054;True;True;0,0009;0,7672;0,3830;47,9250;161,3372;139,3092;-0,2341;1,1289;0,2925;156,7611;True;True;-0,2014;0,7874;0,2523;341,9714;117,2381;184,9194;-0,4089;-0,1024;0,0032;166,8312;
115885;273,4562;14,9107;1,2922;-0,0415;359,1094;273,6823;5,1367;True;True;-0,0051;0,7995;0,4042;55,5281;102,8974;101,6112;0,3547;0,8902;0,1125;146,1627;True;True;-0,2093;0,7929;0,2555;339,0099;117,6571;190,6755;0,0022;-0,0406;0,0170;165,0242;
115890;273,4812;14,9098;1,2935;-0,0463;358,0323;271,8449;6,0807;True;True;0,0000;0,7950;0,3927;52,9114;77,3853;74,7571;0,4999;-0,3479;-1,4170;147,0340;True;True;-0,2034;0,7947;0,2561;339,0730;116,8137;191,3515;0,0876;0,0120;-0,0301;162,6667;
115895;273,5062;14,9065;1,2925;-0,0446;358,2320;271,0426;6,3506;True;True;0,0109;0,8207;0,3421;41,6599;55,2536;46,4829;0,0900;1,2187;-0,5515;155,2691;True;True;-0,2014;0,7930;0,2542;339,8003;117,5514;187,7973;0,0571;-0,1346;-0,1432;164,5132;
118180;273,5413;14,9416;1,3009;-0,0026;358,3467;270,5942;359,7952;True;True;0,0302;0,7717;0,3154;24,2193;38,6273;0,9680;-0,0215;-0,0046;0,0685;-174,6693;True;True;-0,1810;0,7891;0,2483;333,7731;118,5443;181,8031;-0,0053;-0,0018;0,0045;-177,3875;
118185;273,5663;14,9448;1,3030;-0,0017;357,5250;271,0506;359,8393;True;True;0,0307;0,7706;0,3155;23,5651;38,8229;1,0064;0,0266;-0,0114;0,0186;-174,5863;True;True;-0,1802;0,7893;0,2479;333,4276;117,8548;181,9395;0,0426;0,0234;-0,0241;-177,4895;
118190;273,5913;14,9481;1,3042;-0,0021;356,8595;270,9785;359,9568;True;True;0,0304;0,7712;0,3159;24,1997;39,2329;1,3375;0,0164;0,0394;-0,0147;-174,5576;True;True;-0,1801;0,7903;0,2488;333,7308;118,3891;181,7386;-0,0150;-0,0078;0,0015;-177,8096;
118195;273,6163;14,9498;1,3044;-0,0021;356,6355;271,1092;359,8735;True;True;0,0303;0,7724;0,3145;24,9636;40,1413;2,1916;-0,0491;0,1237;-0,0277;-174,9204;True;True;-0,1806;0,7905;0,2481;333,6331;118,7962;181,5609;0,0215;0,0144;-0,0075;-177,9784;
118200;273,6414;14,9487;1,3041;-0,0014;356,9091;271,6051;0,0632;True;True;0,0298;0,7728;0,3142;23,3361;40,2548;3,6959;0,0022;0,0077;0,0070;-175,2995;True;True;-0,1809;0,7901;0,2478;333,7336;118,8271;181,5500;-0,0387;-0,0579;-0,0567;-178,0841;
118205;273,6664;14,9478;1,3041;-0,0021;356,6287;272,1212;0,7594;True;True;0,0315;0,7731;0,3151;24,2218;39,3189;4,5998;0,0703;0,0139;0,0027;-176,1485;True;True;-0,1810;0,7897;0,2474;333,9856;119,0546;181,3307;-0,0296;-0,0447;-0,0243;-178,2552;
118210;273,6914;14,9504;1,3064;-0,0051;355,6272;273,7183;2,2156;True;True;0,0296;0,7851;0,3243;35,1959;45,9623;17,8659;-0,3564;2,1211;1,3936;176,6905;True;True;-0,1838;0,7949;0,2378;331,0787;119,8073;179,1923;-0,3912;0,4339;-1,1860;-178,3412;
118215;273,7164;14,9535;1,3072;-0,0125;355,2512;273,3896;3,4243;True;True;0,0334;0,7983;0,3367;64,3175;94,2919;67,8429;1,0662;-0,2432;0,6335;163,9095;True;True;-0,1957;0,7895;0,2332;331,9822;119,4727;179,1547;-0,4347;-0,3021;0,1413;-178,7413;
