Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
62585;152,8335;15,0015;1,2031;-0,0104;353,2769;269,0049;1,9266;True;True;0,0966;1,3131;0,4106;346,4731;81,4917;252,5340;-3,5861;11,7824;11,6962;-145,8219;True;True;-0,2625;0,8245;0,1374;333,7198;118,1441;115,6320;-0,1189;0,1186;0,3799;-161,9357;
62590;152,8585;14,9965;1,2081;-0,0160;351,5204;267,5493;1,7433;True;True;0,1388;1,3588;0,5923;341,2821;92,8989;284,1230;1,5200;0,1988;-4,7350;-168,4661;True;True;-0,2641;0,8364;0,1312;338,0299;118,1341;118,1307;0,0884;0,6480;-0,9183;-169,3077;
64600;152,8736;14,9802;1,1866;0,0024;352,5840;260,7092;356,6441;True;True;0,2018;0,8138;0,1720;18,4607;61,9888;287,9057;0,2080;0,0204;-0,4210;-143,8947;True;True;-0,2227;0,8025;0,1487;340,1986;117,8124;135,7105;-0,3943;-0,3682;0,2691;-161,0763;
64605;152,8986;14,9791;1,1833;0,0024;354,1377;263,2487;357,2221;True;True;0,2113;0,8117;0,1545;19,7022;63,2427;288,0303;0,3380;-0,4870;-1,0498;-144,0408;True;True;-0,2254;0,8024;0,1513;341,2893;118,4505;134,5248;0,1360;0,1449;0,0331;-160,6657;
64610;152,9236;14,9789;1,1789;-0,0025;356,4646;262,8978;358,5100;True;True;0,2126;0,7988;0,1389;23,2818;64,7341;289,9082;0,0524;-0,5085;-0,4524;-143,3109;True;True;-0,2112;0,8031;0,1567;341,3468;122,6021;132,8020;0,7105;-0,0075;0,1350;-159,7488;
64615;152,9486;14,9775;1,1760;-0,0073;359,2852;262,9291;359,7474;True;True;0,2079;0,7942;0,1367;23,2228;67,5515;293,0374;-0,2188;0,0868;0,0448;-142,8594;True;True;-0,1982;0,8025;0,1564;334,9085;127,3687;132,9347;0,4171;-0,1949;-0,0368;-159,3180;
64620;152,9736;14,9775;1,1748;-0,0110;0,1734;262,4258;0,5120;True;True;0,2066;0,7998;0,1387;21,2627;66,2801;295,0292;0,0260;0,1142;0,0821;-143,2428;True;True;-0,1964;0,7971;0,1521;335,8615;127,0321;136,0658;-0,1806;-0,1148;-0,0226;-159,2199;
64625;152,9987;14,9794;1,1754;-0,0141;0,3375;262,1023;0,5931;True;True;0,2028;0,7998;0,1431;21,3749;64,2060;295,0549;-0,3856;-0,0890;0,2573;-144,0072;True;True;-0,2074;0,8000;0,1505;340,5715;123,9484;132,0858;-0,7128;-0,1911;-0,3819;-158,9702;
64630;153,0237;14,9817;1,1751;-0,0160;0,1141;262,7549;0,8591;True;True;0,1902;0,8034;0,1486;22,4603;62,3697;293,2815;-0,4246;0,3543;0,0652;-143,6448;True;True;-0,2238;0,7989;0,1399;335,8839;124,0131;128,3257;-0,0924;0,1556;-0,4083;-156,6129;
64635;153,0487;14,9854;1,1736;-0,0211;0,2380;260,6304;0,9383;True;True;0,1882;0,8044;0,1492;22,9765;62,2898;290,8255;0,0113;0,0065;-0,0321;-142,1749;True;True;-0,2287;0,7958;0,1327;333,7408;122,8237;133,3606;-0,0719;-0,0355;-0,1559;-157,1972;
64640;153,0737;14,9899;1,1739;-0,0302;359,6649;253,5628;1,6179;True;True;0,1930;0,8060;0,1459;21,2561;66,9568;290,2276;0,1715;0,2724;-0,1392;-140,3749;True;True;-0,2315;0,7931;0,1314;337,4588;120,0630;130,2613;-0,1354;-0,1507;0,0180;-157,6226;
