Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
68275;171,2665;15,0675;1,1569;-0,0115;0,7047;269,7329;1,2588;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;0,0000;0,0000;0,0000;0,0000;-136,0868;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;180,0000;0,0000;0,0000;0,0000;-113,2490;
68280;171,2915;15,0638;1,1566;-0,0130;0,5047;270,3955;1,1678;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;0,0000;0,0000;0,0000;0,0000;-134,9163;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;180,0000;0,0000;0,0000;0,0000;-112,4635;
68285;171,3165;15,0659;1,1590;-0,0080;359,3842;275,2740;1,0074;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;0,0000;0,0000;0,0000;0,0000;-134,8371;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;180,0000;0,0000;0,0000;0,0000;-112,8066;
68290;171,3416;15,0681;1,1622;-0,0049;357,7247;276,8098;1,0286;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;0,0000;0,0000;0,0000;0,0000;-135,8582;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;180,0000;0,0000;0,0000;0,0000;-113,8437;
68295;171,3666;15,0664;1,1645;-0,0040;356,9881;277,0300;0,2932;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;0,0000;0,0000;0,0000;0,0000;-136,3669;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;180,0000;0,0000;0,0000;0,0000;-114,0752;
68300;171,3916;15,0646;1,1655;-0,0044;356,6503;277,1539;0,0227;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;0,0000;0,0000;0,0000;0,0000;-139,4769;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;180,0000;0,0000;0,0000;0,0000;-154,0741;
71030;171,4166;15,0598;1,1949;-0,0256;348,2027;259,1703;0,5590;True;True;0,1275;0,6330;0,1157;15,5015;91,9831;18,9049;0,0056;-0,0471;0,0124;152,3494;True;True;-0,1405;0,6117;0,1114;340,6484;98,3576;198,8867;-0,0358;-0,0132;-0,0080;162,0190;
71035;171,4417;15,0579;1,1925;-0,0247;350,1446;260,0012;0,3061;True;True;0,1283;0,6325;0,1160;16,1950;91,6069;18,6710;0,0416;-0,0057;-0,0106;152,9843;True;True;-0,1413;0,6109;0,1121;338,5751;97,4951;198,6362;-0,0235;-0,0089;0,1234;162,5336;
71040;171,4667;15,0560;1,1906;-0,0237;352,0129;260,9393;0,2922;True;True;0,1277;0,6342;0,1157;16,5820;91,5518;18,1981;-0,0353;0,1086;0,0046;153,4812;True;True;-0,1414;0,6133;0,1121;338,4161;96,7650;199,4946;-0,0071;0,0515;-0,0407;162,3060;
71045;171,4917;15,0542;1,1881;-0,0234;353,8844;260,9577;0,3649;True;True;0,1284;0,6334;0,1158;16,1204;91,1981;18,3906;0,0147;-0,0619;0,0256;153,3049;True;True;-0,1410;0,6167;0,1115;338,7330;96,4732;199,9258;-0,0318;0,2123;0,0215;161,6954;
71050;171,5167;15,0532;1,1864;-0,0241;355,7471;260,4135;0,4849;True;True;0,1288;0,6302;0,1160;16,1700;91,3396;18,2469;-0,0293;0,0154;0,0243;153,7881;True;True;-0,1412;0,6207;0,1117;339,7440;96,2772;201,0439;-0,0326;-0,0735;0,0278;161,2326;
71055;171,5418;15,0529;1,1855;-0,0275;357,0479;258,9946;1,0728;True;True;0,1310;0,6307;0,1176;15,9188;91,0509;18,1579;0,2868;-0,0759;0,1544;153,5676;True;True;-0,1543;0,6271;0,1207;336,3520;96,6243;202,7011;-1,9378;1,1100;1,2952;161,2859;
71060;171,5668;15,0545;1,1852;-0,0319;358,2321;257,6902;1,4423;True;True;0,1410;0,6366;0,1183;18,0860;90,3091;19,4207;0,5720;0,1813;-0,0450;154,3865;True;True;-0,2373;0,6782;0,1325;323,2786;99,3070;198,1061;-3,7823;2,9514;-2,8929;163,9880;
71065;171,5918;15,0561;1,1845;-0,0321;358,5158;258,4092;1,2531;True;True;0,1451;0,6398;0,1185;24,9482;93,6880;20,1022;0,1991;-0,1104;-0,0012;153,2606;True;True;-0,2657;0,6930;0,1136;322,5897;99,0603;182,1016;-1,3282;0,4196;0,3748;174,1930;
71070;171,6168;15,0580;1,1858;-0,0294;357,7217;260,5546;1,1317;True;True;0,1527;0,6520;0,1201;29,2321;89,4045;10,9927;0,5409;1,1596;0,4315;155,3464;True;True;-0,2820;0,6789;0,1009;331,7642;95,1644;178,7922;-0,2844;0,2938;-0,9755;170,8413;
71075;171,6419;15,0607;1,1871;-0,0284;357,2274;262,4391;1,2066;True;True;0,1783;0,7295;0,1599;36,7784;71,2517;355,5347;0,4710;2,2150;-0,1640;164,5555;True;True;-0,2791;0,6986;0,0939;330,0077;102,5305;172,8007;0,3588;0,9051;-0,1889;-173,8121;
71080;171,6669;15,0625;1,1890;-0,0278;356,6778;264,4745;1,0807;True;True;0,2087;0,8905;0,1714;23,8940;62,4949;325,4214;0,4222;4,5406;-0,4249;-163,7174;True;True;-0,2908;0,7356;0,1006;328,3674;110,2305;156,7577;0,0583;1,0565;0,3471;-172,0978;
71085;171,6919;15,0633;1,1905;-0,0259;356,6754;267,0103;0,3801;True;True;0,2307;0,9968;0,1796;11,8782;67,5525;297,1192;0,5986;2,4511;2,2486;-151,9918;True;True;-0,2939;0,7824;0,1092;328,3305;107,9317;141,2069;0,0808;0,8369;-0,6083;-164,9040;
71090;171,7169;15,0638;1,1934;-0,0225;356,1569;269,1089;0,7025;True;True;0,2108;1,0747;0,1642;354,9380;75,3122;258,3780;-0,4591;1,7601;-0,7312;-140,2415;True;True;-0,3156;0,8186;0,1134;332,0061;109,1729;119,3126;-1,4997;1,2326;0,1344;-156,8165;
71095;171,742;15,0646;1,1980;-0,0175;355,3287;270,5456;0,7751;True;True;0,2469;1,1050;0,1387;354,6023;93,1364;247,2912;0,0229;2,2201;-1,4056;-143,6330;True;True;-0,3265;0,8607;0,1168;325,2375;124,1809;93,6204;-1,9028;-0,3643;-0,3001;-148,4333;
71100;171,767;15,0649;1,2035;-0,0115;354,6179;272,6229;0,5424;True;True;0,2239;1,1590;0,1494;351,0796;89,1372;240,0725;-0,9399;1,6029;0,7771;-145,9010;True;True;-0,3612;0,8647;0,1345;318,3492;125,8948;94,8064;0,1498;0,2706;-0,3441;-149,8249;
71105;171,792;15,0626;1,2096;-0,0056;353,1490;273,9089;0,7174;True;True;0,2268;1,2316;0,1732;358,6062;79,5573;233,9962;-0,8176;3,2290;0,8762;-143,1237;True;True;-0,3581;0,8654;0,1220;330,0079;115,3226;99,7494;0,2691;-0,1919;-0,1734;-152,0638;
71110;171,817;15,0587;1,2128;0,0017;351,8123;274,8329;0,6249;True;True;0,2183;1,3303;0,2404;5,5533;68,5065;231,7581;-0,8171;2,9801;3,7393;-139,0285;True;True;-0,3546;0,8553;0,1196;328,2864;111,0023;107,7085;0,1919;-0,6064;-0,2158;-157,8785;
71115;171,8421;15,0550;1,2118;0,0049;353,5863;274,6707;1,2374;True;True;0,2185;1,3824;0,4553;12,7367;82,7487;257,7621;0,0119;-3,6103;7,3086;-142,4564;True;True;-0,3473;0,8457;0,1128;329,7555;109,7662;108,1193;0,0563;0,0449;0,0623;-164,4797;
71120;171,8671;15,0513;1,2087;-0,0004;356,1085;274,2177;0,4662;True;True;0,2170;1,2830;0,4503;11,6681;84,2712;308,8765;-0,7597;-1,6010;-1,5515;168,2751;True;True;-0,3459;0,8436;0,1102;332,3983;109,7937;108,5644;-0,0269;-0,0797;-0,1458;-160,1812;
71125;171,8921;15,0478;1,2057;-0,0077;356,6599;271,9343;0,3126;True;True;0,1903;1,2121;0,4054;10,6440;79,0595;309,2950;-0,6161;-2,5655;-3,4814;167,5418;True;True;-0,3419;0,8521;0,0942;333,7036;115,5653;104,5870;0,1948;0,5951;-0,7690;-158,0700;
71130;171,9171;15,0456;1,2039;-0,0133;357,3115;269,6714;0,1463;True;True;0,1981;1,1422;0,3736;0,5176;75,6095;309,7026;0,2335;-1,1271;-1,8377;170,7132;True;True;-0,3403;0,8672;0,0803;335,3196;109,2477;108,7856;-0,1892;-0,0350;0,1068;-155,7316;
71135;171,9422;15,0451;1,2021;-0,0161;357,5881;267,7555;0,3080;True;True;0,2051;1,0685;0,3208;357,1957;65,8588;310,2515;0,3067;-1,8770;-0,7985;-167,6424;True;True;-0,3431;0,8629;0,0785;329,3173;112,4658;110,5823;-0,0751;-0,0880;-0,1138;-155,8026;
71140;171,9672;15,0460;1,2010;-0,0174;357,1871;266,2953;0,3118;True;True;0,2204;1,0018;0,2549;356,5427;57,8679;311,0601;0,5417;-1,3566;-3,0650;-168,7620;True;True;-0,3387;0,8613;0,0755;327,2721;113,0460;110,8788;0,0335;0,0072;0,0573;-155,2818;
71145;171,9922;15,0470;1,2008;-0,0166;356,6485;267,1257;0,4023;True;True;0,2222;0,9528;0,2034;359,6029;55,7247;311,5739;-0,1756;-0,7462;-1,0259;-167,8312;True;True;-0,3307;0,8539;0,0841;327,8003;110,3350;113,5867;0,3384;-0,4084;0,1401;-154,9858;
71150;172,0172;15,0499;1,2021;-0,0142;355,2702;268,8388;0,3220;True;True;0,2328;0,9111;0,1767;11,2075;51,8828;310,4635;-0,4660;-0,6026;-0,6155;-165,6357;True;True;-0,3224;0,8487;0,0842;326,6235;112,3505;113,3894;0,4973;0,0750;-0,2168;-153,3576;
71155;172,0423;15,0514;1,2017;-0,0121;354,8839;270,1129;0,0710;True;True;0,2484;0,8913;0,1514;13,9457;55,3834;306,7230;0,0750;0,6001;-1,6673;-161,7844;True;True;-0,3006;0,8390;0,0975;332,9131;118,8721;107,7067;-0,4503;-0,3054;0,5671;-150,9300;
71160;172,0673;15,0515;1,2002;-0,0095;355,2050;271,4487;359,6958;True;True;0,2567;0,8812;0,1332;15,8912;55,5300;303,8257;0,1296;-0,0739;-0,4587;-159,0486;True;True;-0,3010;0,8332;0,1007;330,8438;122,2378;110,4743;0,1680;-0,2306;0,0141;-149,6526;
71165;172,0923;15,0511;1,1986;-0,0070;356,2206;272,5438;359,9844;True;True;0,2519;0,8828;0,1223;9,2270;58,2167;299,1603;-0,2302;0,0011;-0,2964;-155,1680;True;True;-0,2950;0,8284;0,1080;333,5067;124,7865;111,0924;0,1416;-0,0826;0,3324;-150,5907;
71170;172,1173;15,0509;1,1968;-0,0038;357,1188;273,1258;359,8726;True;True;0,2475;0,8766;0,1147;10,1391;58,7524;297,6988;-0,0823;-0,1091;-0,0394;-152,2562;True;True;-0,2873;0,8189;0,1135;334,4468;125,6947;113,0189;0,3438;-0,1995;0,0521;-148,6112;
71175;172,1423;15,0506;1,1949;-0,0003;358,1331;273,5747;359,8321;True;True;0,2442;0,8713;0,1113;13,3167;56,1294;299,8491;-0,1682;-0,0905;-0,0091;-153,6062;True;True;-0,2737;0,8151;0,1171;334,1326;127,3555;114,1609;0,5457;-0,0965;0,2156;-149,0820;
71180;172,1674;15,0505;1,1938;0,0025;358,7849;273,8723;359,8617;True;True;0,2407;0,8665;0,1090;14,1507;56,1599;300,4846;-0,1130;-0,3499;-0,2650;-153,7350;True;True;-0,2643;0,8110;0,1171;334,1781;127,1524;114,8907;0,3290;-0,2667;0,0276;-148,3120;
71185;172,1924;15,0504;1,1925;0,0046;359,4449;274,1107;359,8976;True;True;0,2379;0,8538;0,1027;15,5135;57,8564;299,0380;-0,1942;-0,9763;-0,4747;-152,7141;True;True;-0,2550;0,8043;0,1139;334,1156;127,3440;114,7858;0,6992;-0,4947;-0,2373;-147,2922;
71190;172,2174;15,0503;1,1911;0,0061;0,0357;274,3899;0,0014;True;True;0,2285;0,8312;0,0968;17,6959;59,5661;296,7443;-0,4539;-0,9116;-0,3034;-148,9658;True;True;-0,2293;0,7942;0,1094;329,1166;131,8087;114,4699;1,0440;-0,2662;-0,2160;-146,7105;
71195;172,2424;15,0503;1,1897;0,0067;0,4449;274,6227;0,0854;True;True;0,1885;0,7834;0,1079;30,4003;56,2229;295,0606;-1,6422;-2,7685;2,0652;-145,1315;True;True;-0,1883;0,7902;0,1078;325,4774;135,6283;117,4021;2,0828;0,7993;0,0351;-148,3268;
71200;172,2675;15,0503;1,1889;0,0058;0,3775;273,9472;0,0954;True;True;0,1613;0,7447;0,1124;30,1770;70,0570;324,5549;-2,0286;-1,2981;-0,5313;-147,6175;True;True;-0,1671;0,7551;0,1217;326,0189;122,5125;142,7817;-0,0191;-2,2388;0,6262;-149,6687;
71205;172,2925;15,0490;1,1898;0,0013;359,9806;271,7881;0,6256;True;True;0,1793;0,7144;0,1117;20,1108;75,9490;345,3432;1,5298;-0,6953;0,0075;-157,1171;True;True;-0,1908;0,7365;0,1218;345,0961;117,0090;155,8509;-0,5875;-0,3798;-0,6724;-161,1712;
71210;172,3175;15,0472;1,1907;-0,0070;359,3865;268,0225;1,2417;True;True;0,2011;0,7263;0,1153;19,0596;77,5378;335,9621;1,9223;1,4101;0,5330;-158,8354;True;True;-0,2236;0,7576;0,1134;339,6090;110,9800;153,1998;-2,6809;1,7488;-0,3691;-163,2112;
71215;172,3425;15,0460;1,1907;-0,0164;359,4122;265,0923;2,1985;True;True;0,2314;0,7572;0,1255;22,6396;84,5311;327,4453;1,5649;1,4761;0,6443;-154,5668;True;True;-0,2639;0,7571;0,1168;336,7354;104,2037;141,5769;-1,4172;-0,1474;-0,0532;-160,7931;
71220;172,3676;15,0449;1,1902;-0,0228;359,5869;264,1498;2,4218;True;True;0,2471;0,7662;0,1352;22,2751;85,8880;311,4966;0,0600;0,3142;-0,1849;-149,3228;True;True;-0,2900;0,7670;0,1071;334,3402;101,1655;129,0021;-1,0385;0,7058;-1,0048;-153,3810;
71225;172,3926;15,0435;1,1894;-0,0247;359,8220;265,1054;2,1917;True;True;0,2660;0,7671;0,1416;21,3194;81,7878;303,8145;0,4313;0,6896;0,3994;-143,6341;True;True;-0,2929;0,7645;0,1001;329,9399;96,3028;127,2298;-0,0341;-0,0355;-0,2200;-150,5458;
71230;172,4176;15,0428;1,1886;-0,0242;0,1661;266,5336;1,7510;True;True;0,2423;0,8107;0,1445;18,4909;76,9459;295,5077;-1,8740;3,2784;0,1862;-142,7785;True;True;-0,2981;0,7708;0,0994;333,0795;96,0250;127,9589;-0,3728;0,6047;0,1419;-148,2226;
71235;172,4426;15,0438;1,1884;-0,0229;0,3059;267,7694;1,2000;True;True;0,2425;0,8444;0,1510;12,6237;77,0657;290,5880;0,2655;0,1361;0,1885;-141,3548;True;True;-0,3102;0,7931;0,1153;335,7878;102,0216;121,5645;-0,2491;1,0690;0,5613;-148,2651;
71240;172,4677;15,0464;1,1893;-0,0214;0,1379;268,8214;1,1052;True;True;0,2199;0,8742;0,1524;6,4786;77,6198;283,7836;-1,0619;0,8734;-0,2622;-140,3270;True;True;-0,3121;0,8100;0,1314;339,8851;102,7680;119,6156;-0,1019;0,4756;0,5566;-147,1760;
71245;172,4927;15,0484;1,1900;-0,0197;359,6004;269,2078;0,9253;True;True;0,2155;0,8707;0,1496;4,4672;76,6673;279,6740;0,0054;-0,2277;0,0085;-139,1574;True;True;-0,2815;0,8181;0,1336;345,3114;105,8825;118,2445;0,7644;-0,0017;0,2549;-149,0853;
71250;172,5177;15,0506;1,1900;-0,0180;359,6198;269,5207;0,7138;True;True;0,2139;0,8711;0,1484;3,2563;75,0979;277,6335;-0,0865;0,1648;-0,0446;-138,4714;True;True;-0,2723;0,8162;0,1358;346,4169;109,4566;117,7218;0,2268;0,0224;0,0176;-148,2908;
71255;172,5427;15,0539;1,1905;-0,0175;359,5415;270,2385;0,6560;True;True;0,1953;0,9497;0,1486;1,1982;74,5282;270,3298;-1,1978;4,5116;-0,1249;-136,3312;True;True;-0,2787;0,8202;0,1354;347,1126;110,3945;113,0196;-0,4656;0,3922;-0,0492;-146,5939;
71260;172,5678;15,0576;1,1915;-0,0189;359,2238;270,3520;0,4507;True;True;0,2165;1,0100;0,1692;350,4695;78,4973;257,4612;1,4521;-0,1279;-0,8303;-135,5313;True;True;-0,2983;0,8281;0,1221;346,3751;106,3540;113,2853;-0,2164;0,1646;-0,5539;-146,1447;
71265;172,5928;15,0614;1,1929;-0,0211;358,6690;270,4450;0,4087;True;True;0,2343;1,0428;0,1804;345,2583;82,3741;254,0251;-1,1769;1,7308;-0,1517;-138,6725;True;True;-0,3074;0,8465;0,1003;342,5921;102,8407;116,5355;-0,4512;0,1862;-0,7716;-147,9717;
71270;172,6178;15,0658;1,1958;-0,0229;357,9094;271,0236;0,2986;True;True;0,1855;1,1243;0,1713;345,2469;82,9452;250,5793;-2,8270;2,6988;0,9278;-141,7571;True;True;-0,3222;0,8416;0,0963;339,9577;96,1804;121,1019;-0,1772;-0,4858;0,3453;-153,8757;
71275;172,6428;15,0700;1,2017;-0,0246;356,5426;270,9797;0,5895;True;True;0,1278;1,2211;0,1381;5,7479;78,0770;251,2149;3,2305;7,9121;-0,4333;-142,4649;True;True;-0,3516;0,8184;0,1030;339,0995;92,4877;122,0732;-1,9061;-1,4165;0,7362;-154,7362;
71280;172,6679;15,0730;1,2058;-0,0263;355,1676;271,6229;0,4844;True;True;0,1466;1,3158;0,2032;355,5080;80,3304;245,1582;-3,5048;3,3825;0,7945;-148,5546;True;True;-0,3680;0,8190;0,1047;337,8214;90,4294;126,1565;-1,3470;-0,4685;0,3311;-158,1313;
71285;172,6929;15,0749;1,2071;-0,0273;353,8487;271,7637;0,6938;True;True;0,0951;1,3723;0,2979;358,1640;81,3467;242,8208;-2,8525;3,0547;7,9171;-147,1202;True;True;-0,3659;0,8090;0,0842;335,8805;91,8586;121,0971;-0,1465;-0,1267;-0,6103;-159,0042;
71290;172,7179;15,0753;1,2092;-0,0261;353,6542;271,2482;0,6180;True;True;0,0736;1,3826;0,4959;5,8199;82,0170;264,9255;0,1287;-4,9053;6,2518;-145,0296;True;True;-0,3600;0,8116;0,0695;334,2358;94,6513;115,0671;0,3899;0,0589;-0,4809;-157,8733;
71295;172,7429;15,0747;1,2077;-0,0319;355,3151;271,1623;359,7031;True;True;0,1308;1,3007;0,4483;6,0665;82,6685;325,3050;0,0575;-0,1136;0,9046;165,1408;True;True;-0,3077;0,8522;0,0528;343,8404;95,7230;110,3676;-1,2697;-0,1422;0,0320;-154,5417;
71300;172,768;15,0730;1,2067;-0,0355;354,7461;270,2821;359,7522;True;True;0,1256;1,2427;0,4163;359,4961;80,7020;316,7939;0,8155;-1,5861;-1,6458;165,5156;True;True;-0,3348;0,8373;0,0523;345,5022;101,1954;105,9848;-0,5740;-0,6673;-0,2925;-154,0341;
71305;172,793;15,0716;1,2072;-0,0380;354,1005;270,1596;359,5758;True;True;0,1284;1,1689;0,3862;356,7156;77,0492;301,2876;0,3557;-3,0826;-0,8019;-170,3717;True;True;-0,3419;0,8311;0,0511;344,1184;101,5483;107,2060;-0,1049;-0,2804;-0,0679;-152,8856;
71310;172,818;15,0696;1,2053;-0,0380;353,8710;269,5619;359,8022;True;True;0,1534;1,0966;0,3375;347,6880;71,5733;297,2762;-0,1764;-1,7237;-2,6057;-166,6425;True;True;-0,3422;0,8276;0,0527;342,3985;100,3843;110,4540;0,0497;-0,0642;0,1102;-153,3864;
71315;172,843;15,0659;1,2044;-0,0375;354,2607;268,7555;0,1507;True;True;0,1747;1,0217;0,2728;348,6463;64,1598;302,9661;0,5128;-1,9808;-1,5228;-166,1596;True;True;-0,3383;0,8251;0,0595;341,7693;101,0362;111,1459;0,1444;-0,0856;0,2580;-152,1927;
