Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
35660;116,2208;14,9919;1,1893;0,0268;2,6809;300,0493;0,4831;True;True;0,4718;0,8844;0,1855;2,3920;103,9937;329,2310;4,3799;7,5317;2,3536;-164,1039;True;True;-0,3005;0,6849;0,2392;298,6348;142,1202;134,6203;-0,4459;3,0550;2,4424;-157,7301;
35665;116,2458;14,9941;1,1983;0,0903;357,8805;307,8480;357,5282;True;True;0,6325;1,0576;0,1770;34,3032;105,1096;310,4853;8,3007;5,6626;-5,6557;-165,3525;True;True;-0,3596;0,7300;0,2835;300,5469;126,7428;160,1807;-5,2018;1,8494;-0,2309;-163,7172;
35670;116,2707;14,9791;1,2013;0,1575;353,2605;308,4988;354,8311;True;True;0,6978;1,2596;0,1140;64,5069;47,8703;237,7321;2,0609;4,0340;-5,6947;152,2420;True;True;-0,4652;0,7495;0,1596;313,7810;100,6179;182,1299;-4,7897;-1,1225;-9,3192;150,8162;
55285;116,3157;15,0588;1,1865;-0,0144;354,8499;266,1971;0,8722;True;True;0,2264;0,8354;0,0893;16,4919;69,9531;280,5925;0,0135;0,0094;-0,0394;-142,4180;True;True;-0,2699;0,8520;0,0962;346,8023;104,5354;118,5859;0,0448;0,0677;-0,0306;-153,5700;
55290;116,3407;15,0583;1,1838;-0,0137;356,8431;265,6270;0,3756;True;True;0,2287;0,8364;0,0867;16,4046;69,9731;281,1971;0,1447;0,1012;-0,0751;-142,2043;True;True;-0,2694;0,8548;0,0960;347,3387;105,0743;118,0625;-0,0228;-0,0156;0,0076;-153,2776;
55295;116,3657;15,0575;1,1808;-0,0122;359,1687;265,7437;0,1045;True;True;0,2347;0,8394;0,0869;14,8260;68,6257;279,9389;0,1897;0,0800;0,2068;-141,9252;True;True;-0,2716;0,8581;0,0953;349,7428;103,8988;119,0630;-0,2021;0,3384;-0,1234;-152,8540;
55300;116,3907;15,0561;1,1777;-0,0113;1,2717;265,9481;0,1337;True;True;0,2380;0,8385;0,0886;14,2898;65,1895;278,2545;0,1848;-0,0575;0,0436;-140,0781;True;True;-0,2754;0,8663;0,0915;350,2391;105,2930;118,3263;-0,1925;0,6736;-0,3005;-152,9758;
55305;116,4157;15,0550;1,1765;-0,0117;2,1793;265,3155;0,3196;True;True;0,2368;0,8387;0,0898;15,4951;63,7171;277,8277;-0,1944;-0,0020;0,1104;-139,2046;True;True;-0,2788;0,8694;0,0913;350,8170;103,7858;117,5006;-0,0521;0,0749;-0,0692;-152,1545;
55310;116,4406;15,0544;1,1770;-0,0139;2,0209;264,1725;0,7142;True;True;0,2322;0,8374;0,0899;15,9105;62,9631;279,9020;-0,1201;-0,0087;0,0341;-139,8637;True;True;-0,2781;0,8692;0,0911;351,8573;102,5289;119,8700;0,0821;0,0019;0,0714;-152,8379;
55315;116,4656;15,0534;1,1769;-0,0151;2,2654;263,8940;1,1931;True;True;0,2321;0,8370;0,0913;15,5628;61,4716;279,2762;0,0707;0,0167;0,0217;-139,9706;True;True;-0,2727;0,8718;0,0923;350,9519;106,8315;120,7421;0,1053;0,0248;0,0317;-154,4317;
55320;116,4906;15,0531;1,1777;-0,0156;1,6773;263,8792;1,1790;True;True;0,2360;0,8407;0,0929;14,7970;61,8142;278,6925;0,1148;0,1146;0,0272;-139,2545;True;True;-0,2722;0,8716;0,0934;348,6425;107,6750;121,1110;0,0067;-0,0365;0,0640;-154,6636;
55325;116,5156;15,0538;1,1783;-0,0161;1,1199;264,1299;1,3471;True;True;0,2411;0,8496;0,0930;14,2056;62,7649;277,3898;0,2237;0,8881;0,1576;-139,6940;True;True;-0,2757;0,8760;0,0983;350,4493;106,5105;120,0092;-0,1866;0,5094;0,4990;-154,0586;
55330;116,5406;15,0567;1,1780;-0,0160;1,4215;264,5279;1,1707;True;True;0,2369;0,8893;0,1097;8,9015;65,1876;273,9298;0,0025;-0,0524;1,4342;-139,1413;True;True;-0,2766;0,9063;0,1111;353,9325;104,6390;114,8321;0,1715;1,9863;0,2214;-152,9532;
55335;116,5656;15,0591;1,1788;-0,0150;1,1539;265,4366;0,9197;True;True;0,2543;0,9204;0,1035;9,7556;80,9269;277,0537;0,4373;-0,8998;-0,6440;-142,2621;True;True;-0,2755;0,9416;0,1301;359,7445;100,8752;105,4351;0,4088;0,1290;1,5840;-153,4653;
55340;116,5906;15,0603;1,1800;-0,0146;0,3990;266,1449;0,9297;True;True;0,2371;0,9347;0,1048;5,5033;77,4051;271,8324;-0,8729;1,2302;0,5704;-143,3879;True;True;-0,2367;0,9658;0,1446;3,7542;106,2685;82,3435;-0,0664;0,0216;0,4254;-141,8619;
55345;116,6155;15,0605;1,1807;-0,0143;0,4175;266,7385;1,0526;True;True;0,2344;0,9397;0,1091;351,9674;79,9821;270,7876;0,0216;-0,1891;0,1909;-143,6771;True;True;-0,2506;0,9494;0,1661;20,2402;111,7016;73,6618;-2,3357;-0,6446;1,0552;-129,9207;
55350;116,6405;15,0607;1,1825;-0,0141;359,7331;267,5522;0,4835;True;True;0,1874;0,9684;0,1209;343,2965;72,3902;265,1823;-0,4917;-0,2031;1,0635;-145,3466;True;True;-0,2408;0,9605;0,1561;9,1170;108,3069;81,8716;0,8154;0,3309;0,3971;-135,5675;
55355;116,6655;15,0614;1,1837;-0,0175;359,4857;267,3684;0,6684;True;True;0,1982;0,9758;0,1258;348,0127;82,9964;263,0732;0,2860;1,8683;1,1150;-142,8320;True;True;-0,2391;0,9619;0,1599;12,3366;105,5119;75,3631;-0,0489;-0,1197;0,0843;-134,8344;
55360;116,6905;15,0617;1,1862;-0,0234;358,5146;267,8509;0,5608;True;True;0,1419;0,9999;0,1905;344,2178;89,4778;258,3351;-1,5021;-0,4064;2,6537;-145,1056;True;True;-0,2503;0,9569;0,1466;12,5335;97,0706;69,5873;-0,2224;-0,3527;-2,1088;-130,2246;
55365;116,7155;15,0605;1,1891;-0,0289;357,5201;268,0353;0,3781;True;True;0,0490;1,1914;0,2347;349,4179;82,8578;245,0207;-6,1787;23,9368;-0,2247;-145,5891;True;True;-0,2675;0,9522;0,1049;7,5416;89,1880;79,4847;-2,0784;-0,8734;-1,6579;-135,5926;
55370;116,7405;15,0595;1,1926;-0,0349;356,3945;267,8299;0,4528;True;True;0,0171;1,1774;0,2787;346,4821;58,2974;247,7786;-0,4598;2,1443;1,8286;-138,6206;True;True;-0,3041;0,9500;0,0749;0,9860;88,4876;96,1381;-0,9524;-0,0354;-1,0097;-145,5673;
