Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
23510;74,21385;15,1920;1,1990;0,1721;357,2776;263,4384;357,3816;True;True;0,3234;0,7013;0,0056;60,5077;71,5753;330,7269;0,4851;0,9027;0,3042;-148,4304;True;True;-0,0791;0,8515;0,0026;343,1814;120,9531;149,4861;-1,3034;0,0360;-0,7967;-168,6268;
23515;74,23884;15,1921;1,1981;0,1246;359,3235;253,2184;359,3192;True;True;0,3470;0,7560;0,0219;49,6873;53,2103;310,2386;0,7576;1,7825;1,1615;-151,5556;True;True;-0,1161;0,8578;-0,0041;333,1569;100,9529;139,0812;-2,5432;0,9480;0,7436;-161,6225;
23520;74,26382;15,1916;1,1985;0,0857;359,4194;248,2217;1,1750;True;True;0,2039;0,8415;0,0565;22,9722;59,5596;301,3500;-18,4628;10,1518;0,9424;-151,6056;True;True;-0,1342;0,8980;0,0208;340,4075;106,9696;114,0050;0,8314;1,5879;1,1230;-153,2247;
23525;74,28881;15,2067;1,1944;0,0474;4,5899;241,5203;3,5916;True;True;-0,0081;0,9787;0,0395;339,5436;17,7691;301,3367;-8,6719;5,2032;-2,5298;-151,1447;True;True;-0,3607;0,9252;0,1129;349,0614;80,6907;77,9259;-12,7758;-6,2671;5,6264;-132,4869;
27640;74,3088;15,0355;1,1351;0,0488;1,9515;269,6242;0,4888;True;True;0,1782;0,9739;0,2307;358,2420;58,8973;288,3938;48,8297;-4,8102;37,2678;-156,3374;True;True;-0,1033;0,9619;0,2316;351,5296;116,5403;107,8047;69,0973;40,0883;25,3703;-152,3922;
27645;74,33379;15,0361;1,1398;0,0464;359,5941;268,7169;0,4718;True;True;0,1696;0,9743;0,2194;355,7474;64,7286;288,6212;0,3578;0,4252;-0,3330;-151,5864;True;True;-0,0997;0,9617;0,2264;350,8938;122,3503;106,9619;0,0053;0,0479;-0,0521;-149,8472;
27650;74,35877;15,0383;1,1442;0,0424;356,9124;267,5103;0,9558;True;True;0,1842;0,9755;0,2232;7,3930;58,6747;274,4482;0,5157;-0,1516;0,7833;-151,8135;True;True;-0,1041;0,9754;0,2188;353,1759;113,3205;105,3970;-0,5102;0,7926;-1,0947;-148,7943;
27655;74,38376;15,0410;1,1421;0,0403;357,8855;267,0209;1,3758;True;True;0,2026;0,9659;0,2038;10,1310;63,8081;277,8861;0,6229;-0,6126;-0,5683;-145,2344;True;True;-0,1127;0,9701;0,2182;347,9732;133,8073;100,4871;-0,5245;-0,6233;-0,0049;-150,4357;
27660;74,40874;15,0419;1,1414;0,0397;358,4054;266,7990;1,3507;True;True;0,2039;0,9609;0,1933;11,4929;71,6277;284,1972;0,2639;-0,1590;0,0046;-146,0859;True;True;-0,1258;0,9610;0,1872;347,2924;106,4608;103,9610;-0,5634;-0,2891;-1,6371;-148,5110;
27665;74,43373;15,0403;1,1416;0,0385;358,3519;267,0755;1,3013;True;True;0,2246;0,9504;0,1896;15,4013;65,1019;279,4770;1,1172;-0,4237;0,1007;-147,3548;True;True;-0,1532;0,9445;0,1859;339,3734;118,1045;90,6272;-1,5427;-1,3363;0,3935;-145,6103;
