Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
210175;498,2555;15,1649;1,1928;0,0263;3,1582;260,4696;357,8348;True;True;0,1673;0,7764;-0,0131;65,3747;11,8685;310,8126;0,0139;0,0370;0,0113;165,9536;True;True;-0,1559;0,8080;-0,0297;306,6112;142,3684;149,3009;0,6154;-0,1023;0,2029;-170,8431;
210180;498,2805;15,1627;1,1931;0,0287;2,9355;262,0732;357,6206;True;True;0,1658;0,7751;-0,0127;67,1959;7,8679;307,1744;-0,1736;-0,0989;0,0859;167,2439;True;True;-0,1436;0,8043;-0,0300;303,8083;141,7571;153,3264;0,6129;-0,1453;0,2234;-171,2372;
210185;498,3055;15,1592;1,1913;0,0306;3,7453;263,7166;357,8889;True;True;0,1582;0,7716;-0,0163;64,9400;17,1667;315,8271;-0,2372;-0,0660;-0,1413;167,0474;True;True;-0,1380;0,8052;-0,0247;314,0674;143,9999;158,6330;0,0897;-0,2164;-0,0370;174,4405;
210190;498,3306;15,1586;1,1910;0,0306;3,7610;263,1977;357,7002;True;True;0,1587;0,7721;-0,0145;65,3693;13,9038;314,5837;0,0949;-0,0402;0,1172;167,9130;True;True;-0,1369;0,8052;-0,0247;309,3414;148,3533;154,8764;-0,0074;-0,0142;-0,0088;-175,9019;
210195;498,3556;15,1590;1,1918;0,0352;3,3742;265,7768;357,5986;True;True;0,1590;0,7709;-0,0122;64,9078;13,1374;313,0089;-0,0083;-0,0811;0,0856;167,8398;True;True;-0,1392;0,8031;-0,0247;308,0033;150,1728;153,2647;-0,2531;-0,1597;0,0156;-175,8055;
210200;498,3806;15,1598;1,1912;0,0428;3,6604;271,1026;357,8365;True;True;0,1610;0,7694;-0,0123;67,2168;11,4976;313,7561;0,1018;-0,0287;-0,0723;-168,5012;True;True;-0,1471;0,8046;-0,0283;308,1883;143,7800;156,3657;-0,2070;0,2288;-0,2035;-174,5315;
210205;498,4056;15,1618;1,1916;0,0466;3,5172;273,1783;357,5776;True;True;0,1642;0,7693;-0,0136;67,0187;14,6832;316,9085;0,2508;-0,0066;-0,0172;171,0597;True;True;-0,1485;0,8073;-0,0341;303,7697;143,4298;146,8082;0,1705;-0,2327;-0,3465;170,3767;
210210;498,4307;15,1638;1,1919;0,0540;4,0076;278,2857;358,0005;True;True;0,1678;0,7753;-0,0132;68,6448;15,0538;316,7482;0,2448;0,5670;0,1010;171,3512;True;True;-0,1531;0,8054;-0,0275;308,9044;143,5281;140,4939;-0,4633;-0,2206;0,3206;-165,8347;
210215;498,4557;15,1645;1,1918;0,0574;4,0309;280,5513;358,3235;True;True;0,1753;0,7806;-0,0112;67,1486;18,2722;317,7471;0,3776;0,1613;0,0559;172,0599;True;True;-0,1554;0,8020;-0,0238;313,7475;137,5940;138,5846;0,0353;0,0032;-0,0318;-162,0991;
210220;498,4807;15,1663;1,1928;0,0632;3,6204;282,8174;358,2188;True;True;0,1771;0,7831;-0,0107;68,4408;16,5713;312,5399;-0,0140;0,0198;-0,0780;170,8547;True;True;-0,1567;0,8056;-0,0272;307,0704;144,5230;136,2271;-0,0893;0,0476;-0,0069;-162,0322;
