Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
29665;86,26223;14,9926;1,1926;-0,0030;2,0519;268,6192;359,0759;True;True;0,1950;0,7570;0,2023;27,3046;57,3573;346,8969;-0,2645;-0,9472;1,5271;-170,4630;True;True;-0,2023;0,7556;0,1725;304,1858;131,2099;138,2778;-0,4062;-0,6142;0,1681;-158,0437;
29670;86,28722;14,9878;1,1943;-0,0019;359,5463;267,7377;358,9043;True;True;0,1779;0,7136;0,1988;33,9891;64,2171;349,0837;-1,9592;1,3857;-0,8913;-167,7963;True;True;-0,2250;0,7383;0,1780;300,3253;123,8260;145,4525;-0,4928;0,2521;-0,2672;-159,9947;
29675;86,3122;14,9877;1,2008;-0,0085;358,4694;266,2612;358,3537;True;True;0,1850;0,7271;0,2193;43,3366;58,2769;354,6446;0,4826;1,0096;0,8519;-171,0523;True;True;-0,2465;0,7539;0,1804;298,5818;131,8690;136,0871;-0,6466;0,6708;-0,1430;-160,9758;
29680;86,33719;14,9855;1,2007;-0,0123;358,9271;265,7636;358,2956;True;True;0,1887;0,7273;0,2375;27,7524;51,0938;357,3971;-0,1014;-0,8058;-0,0766;-177,2536;True;True;-0,2628;0,7608;0,1773;310,2164;123,5559;144,2401;-1,0685;-0,1405;-0,0197;-161,5814;
29685;86,36217;14,9854;1,1957;-0,0240;359,5191;254,7191;359,0754;True;True;0,1656;0,7108;0,2169;30,4621;51,7161;354,6089;-1,7516;-0,9949;-1,0391;-174,6975;True;True;-0,2666;0,7374;0,1643;317,8169;122,5644;144,3000;0,9503;-1,9121;-1,7906;-162,2848;
29690;86,38716;14,9871;1,1932;-0,0248;0,6847;252,6309;358,4757;True;True;0,1551;0,7085;0,1951;31,3305;49,3919;349,7897;-0,2052;0,5154;-0,6103;-169,9386;True;True;-0,2405;0,7313;0,1516;305,0705;118,2883;143,1999;-0,2630;-0,0401;0,3815;-158,6941;
29695;86,41215;14,9890;1,1922;-0,0195;1,1576;256,3046;358,1190;True;True;0,1702;0,7337;0,2134;29,9441;54,0083;343,3727;1,3119;3,2906;2,1933;-167,6461;True;True;-0,2589;0,7487;0,1705;304,1500;117,3259;147,8840;-1,1195;1,0661;0,7944;-161,5332;
29700;86,43713;14,9893;1,1946;-0,0178;1,6451;255,2459;357,1900;True;True;0,2161;0,8123;0,2626;13,0373;56,4310;331,8948;2,1883;1,5929;1,5433;-162,1380;True;True;-0,2741;0,7546;0,1734;308,2446;117,5907;148,7411;-0,4953;-0,3391;-0,3168;-163,2827;
29705;86,46212;14,9846;1,1944;-0,0303;1,6111;240,2528;358,2969;True;True;0,2697;0,8185;0,3031;14,5438;63,5212;331,7431;1,3417;-0,4737;0,9675;-162,9216;True;True;-0,4187;0,5941;0,1348;308,6167;86,7886;175,4902;-12,1057;-14,1410;-0,6648;-169,6181;
29710;86,48711;14,9733;1,1835;-0,0376;5,2961;244,2965;359,1508;True;True;0,1433;0,7640;0,2385;11,0548;67,7631;326,7573;-9,6977;0,1942;-5,9006;-156,6258;True;True;-0,3548;0,8164;0,0934;335,2724;84,0065;158,8877;6,3861;11,8836;4,0877;-161,3344;
