Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
17870;62,35411;14,9769;1,1835;-0,0183;7,0984;279,7353;3,3416;True;True;0,3583;0,7482;0,0954;32,4365;102,5518;356,7300;-0,4502;-0,1788;0,7831;-170,0038;True;True;-0,3618;0,7267;0,2162;342,4235;123,3523;134,7632;-0,9629;-0,5762;0,2222;-142,1863;
17875;62,37912;14,9846;1,1839;0,0009;8,2922;281,4956;1,8168;True;True;0,3192;0,7631;0,1542;26,9608;94,1891;338,5967;-3,0549;1,1763;1,1229;-165,2797;True;True;-0,3539;0,7389;0,1644;342,1320;98,4195;149,4384;-0,8639;-0,0700;0,6938;-153,6263;
17880;62,40413;14,9904;1,1829;0,0190;9,5808;285,3331;1,1176;True;True;0,2891;0,7702;0,2070;26,0506;91,3344;327,0614;-0,0099;0,2135;1,7447;-159,9724;True;True;-0,3791;0,7570;0,1611;331,6201;93,1785;140,5563;-0,2237;1,0102;-0,2396;-153,4293;
17885;62,42913;14,9910;1,1816;0,0388;10,0222;290,6866;359,6584;True;True;0,2741;0,8132;0,2360;3,7797;99,8112;310,6915;-0,1364;0,8048;1,5553;-151,4716;True;True;-0,3935;0,7889;0,1584;333,7374;91,8984;134,3359;-1,1425;0,6867;-0,5746;-150,5480;
17890;62,45414;14,9897;1,1798;0,0667;11,0891;299,0339;356,2426;True;True;0,3664;0,8866;0,2509;3,3921;112,6063;292,9879;4,7817;0,8639;-0,2258;-146,9133;True;True;-0,3690;0,8144;0,1121;338,5817;98,7617;130,5840;0,7454;-0,3327;-0,4257;-152,2655;
17895;62,47914;14,9935;1,1724;0,0944;14,4990;306,4099;356,0241;True;True;0,4938;0,9589;0,2597;28,1827;115,3827;281,3797;6,1901;2,4390;2,0640;-141,1773;True;True;-0,3894;0,7868;0,0950;333,5363;92,4887;133,7075;-0,4133;-0,8244;-1,3808;-157,9651;
17900;62,50415;15,0084;1,1627;0,1271;21,4138;317,4691;358,0312;True;True;0,6279;0,9328;0,3414;50,5517;113,3198;283,1508;2,7173;-2,4721;-0,0811;-141,3643;True;True;-0,4062;0,8016;0,0951;327,3015;86,6633;135,0873;-3,0524;0,8431;1,4940;-158,1891;
17905;62,52915;15,0015;1,1634;0,1507;19,3491;318,5264;358,4019;True;True;0,5910;0,9813;0,3128;61,3346;116,2430;276,1403;1,5610;0,1184;-0,9020;-136,7791;True;True;-0,5368;0,7875;0,2260;317,8120;52,7158;153,5797;-5,3327;-2,9153;5,5960;-157,7185;
21350;62,54416;14,9732;1,1983;-0,0101;359,9407;264,5687;359,8487;True;True;0,2926;0,8019;0,1916;34,3166;294,8203;213,5067;0,2103;0,0078;-0,4441;-167,2802;True;True;-0,2498;0,8452;0,1930;326,0002;243,0903;33,4407;-1,1512;-0,0468;-0,3142;159,9240;
21355;62,56916;14,9742;1,1983;0,0050;359,8159;278,0567;0,1497;True;True;0,2825;0,8021;0,1848;35,1398;286,8448;214,6236;-0,3938;0,0353;-0,3608;-171,3876;True;True;-0,2609;0,8453;0,1856;319,8614;238,8258;35,4434;-0,0409;0,0308;-0,2984;161,7663;
21360;62,59417;14,9786;1,1979;0,0186;358,8672;288,4067;0,9523;True;True;0,2739;0,8113;0,1618;47,1002;298,5608;217,0778;0,9320;0,5737;-0,6621;-172,2668;True;True;-0,2637;0,8396;0,1782;320,8721;237,3934;35,7984;0,0714;-0,2172;-0,1037;158,2999;
21365;62,61917;14,9836;1,1981;0,0221;358,1518;290,0545;0,7604;True;True;0,2800;0,8149;0,1406;56,9279;321,4234;236,8553;0,2867;0,0276;-0,8425;-170,2875;True;True;-0,2631;0,8335;0,1764;307,7988;225,9529;44,3789;-0,0839;0,0323;0,0501;157,6209;
