Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
13470;40,34941;14,9717;1,1918;0,0004;3,1062;270,3436;359,6812;True;True;0,1935;0,7741;0,1894;64,3348;50,1666;330,8496;0,0655;0,0432;0,1823;164,8545;True;True;-0,2361;0,7958;0,2001;299,8508;166,3934;107,9184;0,1070;0,0601;-0,0410;-162,8368;
13475;40,37442;14,9741;1,1915;-0,0002;3,3563;271,0947;359,8356;True;True;0,1963;0,7773;0,1873;44,7427;57,8015;336,1566;0,1169;0,0802;-0,1961;-163,0173;True;True;-0,2413;0,7890;0,1948;322,7912;126,4616;140,4158;-0,4287;-0,8951;-0,8033;-159,7125;
13480;40,39943;14,9753;1,1917;0,0002;3,1932;272,3512;0,1174;True;True;0,1969;0,7678;0,1879;54,1253;52,6358;333,7325;-0,5266;-0,9606;0,0536;-167,2953;True;True;-0,2305;0,7737;0,1890;317,2238;133,4609;141,6185;0,6978;-0,5460;-0,2189;-163,5356;
13485;40,42443;14,9744;1,1914;-0,0006;3,3587;270,6443;0,3494;True;True;0,2007;0,7650;0,1885;47,3627;57,4884;337,5839;0,0068;0,0490;0,0517;-165,3195;True;True;-0,2266;0,7723;0,1885;316,3573;134,4155;141,4924;-0,0255;0,0881;0,0177;-163,1988;
13490;40,44944;14,9741;1,1925;-0,0011;2,8769;269,3136;0,4142;True;True;0,2006;0,7669;0,1895;46,4707;57,3256;337,9414;0,0269;0,0764;0,0179;-165,3257;True;True;-0,2272;0,7834;0,1882;315,8831;134,3793;140,8742;0,0805;0,4419;0,0536;-163,9266;
13495;40,47444;14,9741;1,1919;0,0026;3,3248;269,9230;0,2479;True;True;0,2011;0,7664;0,1899;46,8984;55,2537;337,5852;0,0330;0,0005;-0,0159;-165,9099;True;True;-0,2311;0,7901;0,1894;317,0962;133,9124;141,3566;-0,1683;0,1544;-0,0694;-163,9391;
13500;40,49945;14,9738;1,1908;0,0064;3,7348;270,5873;359,5745;True;True;0,2039;0,7685;0,1904;45,0848;56,5403;338,1976;0,2958;0,1983;0,2030;-166,5239;True;True;-0,2327;0,7906;0,1898;318,9208;133,1332;142,5666;0,0826;-0,0942;0,0966;-164,8319;
13505;40,52445;14,9712;1,1901;0,0113;4,0423;270,8367;359,0233;True;True;0,2089;0,7766;0,1974;35,1716;63,8283;336,2810;0,0800;0,3258;0,2886;-165,1564;True;True;-0,2291;0,7883;0,1917;322,0002;131,7457;144,3836;0,1729;-0,0260;0,0922;-164,8770;
13510;40,54946;14,9700;1,1889;0,0162;5,1536;271,4919;358,7084;True;True;0,1960;0,7918;0,2173;16,2606;65,3546;319,5870;-0,5599;0,8738;1,6655;-157,3844;True;True;-0,2285;0,7893;0,1899;325,5150;135,3659;140,6219;0,0170;0,0747;-0,1050;-163,8730;
13515;40,57446;14,9669;1,1881;0,0223;5,3734;272,1270;358,1519;True;True;0,1972;0,8015;0,2414;15,2200;71,4110;312,3048;0,4968;-0,0685;0,8415;-150,9254;True;True;-0,2322;0,7903;0,1837;325,4898;134,7306;138,6319;-0,3542;0,0405;-0,5801;-161,9021;
